Time(s)	Mag	MagErr	Filter	System	Observatory/Telescope/Instrument	GalExtCorr	Source  Flag
731695.2000000654	21.95	0.18	r	AB	CTIO/VictorMBlanco(4m)/DECam	n	Rossi2020    no
861295.2000000654	22.88	0.07	F625W	AB	Hubble/HST/WFC3	n	Rossi2020    no
40810.80000013579	17.33	0.02	r	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	n	Rossi2020    no
125534.64000036009	17.91	0.03	r	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	n	Rossi2020    no
214422.9600003641	18.93	0.02	r	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	n	Rossi2020    no
469743.6000002967	19.84	0.0	r	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	n	Rossi2020    no
103078.80000023636	17.65	0.05	R	AB	SAAO/SALT(10m)/SALTICAM	n	Rossi2020    no
126406.79999995977	17.94	0.05	R	AB	CTIO/LCOGT(1m)/Sinistro	n	Rossi2020    no
158374.80000018608	18.34	0.05	R	AB	SSO/iTelescope(T17)/CCD	n	Rossi2020    no
189568.8000002364	18.59	0.05	R	AB	SAAO/SALT(10m)/SALTICAM	n	Rossi2020    no
212032.8000004124	18.81	0.05	R	AB	CTIO/LCOGT(1m)/Sinistro	n	Rossi2020    no
244984.80000018608	19.1	0.05	R	AB	SSO/iTelescope(T17)/CCD	n	Rossi2020    no
275224.80000006035	19.3	0.05	R	AB	SAAO/SALT(10m)/SALTICAM	n	Rossi2020    no
297688.8000002364	19.54	0.06	R	AB	CTIO/LCOGT(1m)/Sinistro	n	Rossi2020    no
331324.8000001861	19.64	0.09	R	AB	SSO/iTelescope(T17)/CCD	n	Rossi2020    no
361564.8000000604	19.94	0.06	R	AB	SAAO/SALT(10m)/SALTICAM	n	Rossi2020    no
384028.8000002364	20.12	0.08	R	AB	CTIO/LCOGT(1m)/Sinistro	n	Rossi2020    no
417784.8000001861	20.33	0.05	R	AB	SSO/iTelescope(T17)/CCD	n	Rossi2020    no
448828.8000002364	20.64	0.07	R	AB	SAAO/SALT(10m)/SALTICAM	n	Rossi2020    no
504184.8000001861	20.95	0.07	R	AB	SSO/iTelescope(T17)/CCD	n	Rossi2020    no
303390.3999998793	19.66	0.01	r	AB	CP/Gemini-South(8.1m)/GMOS	n	Rossi2020    no
648093.6000002967	21.74	0.04	r	AB	CP/Gemini-South(8.1m)/GMOS	n	Rossi2020    no
696091.6000003219	22.49	0.17	F606W	AB	Hubble/HST/WFC3	n	Rossi2020    no
975141.5999999698	23.77	0.37	F606W	AB	Hubble/HST/WFC3	n	Rossi2020    no
988336.799999834	23.66	0.36	F606W	AB	Hubble/HST/WFC3	n	Rossi2020    no
