grb,ra,dec,coorderr,z
070419B,21h02m52s,-31° 16',3',1.9591
070506A,23h08m52s,+10° 44',3',2.31
070521A,16h10m41s,+30° 14',3',2.0865
070529A,18h55m00s,+20° 38',3',2.4996
070611A,00h07m57s,-29° 45',3',2.04
070612A,08h05m32s,+37° 16',3',0.671
070714B,03h51m25s,+28° 18',3',0.92
070721B,02h12m31s,-02° 11',3',3.626
070724A,01h51m16s,-18° 37',3',0.457
070802A,02h27m24s,-55° 32',3',2.45
070810A,12h39m53s,+10° 44',3',2.17
071003A,20h07m25s,+10° 58',3',1.6
071010A,19h12m24s,-32° 23',3',0.99
071010B,10h02m07s,+45° 44',3',0.947
071020A,07h58m39s,+32° 52',3',2.145
071021A,22h42m33s,+23° 40',3',2.452
071025A,23h40m20s,+31° 45',3',5
071031A,00h25m50s,-58° 03',3',2.69
071112C,02h36m53s,+28° 23',3',0.82
071117A,22h20m38s,-63° 26',3',1.331
071122A,18h26m20s,+47° 04',3',1.14
071227A,03h52m29s,-55° 57',3',0.383
080109A,09h09m31s,+33°08',?,0.0064941
080129A,07h01m07s,-07° 50',3',4.349
080205A,06h32m53s,+62° 46',3',2.72
080210A,16h45m05s,+13° 50',3',2.641
080310A,14h40m19s,-00° 10',3',2.43
080319A,13h45m25s,+44° 05',3',2.0265
080319B,14h31m42s,+36° 18',3',0.937
080319C,17h15m54s,+55° 25',3',1.95
080325A,18h31m35s,+36° 31',3',1.78
080330A,11h17m12s,+30° 34',3',1.51
080411A,02h32m04s,-71° 20',3',1.03
080413A,19h09m10s,-27° 41',3',2.43
080413B,21h44m32s,-19° 58',3',1.1
080430A,11h01m17s,+51° 41',3',0.767
080514B,21h31m17s,+00° 44',17'*6',1.8
080516A,08h02m31s,-26° 11',3',3.2
080520A,18h40m46s,-55° 00',3',1.545
080603A,18h37m31s,+62° 44',3',1.69
080603B,11h46m07s,+68° 05',3',2.6893
080604A,15h47m53s,+20° 33',3',1.416
080605A,17h28m31s,+04° 00',3',1.6403
080607A,12h59m52s,+15° 54',3',3.04
080707A,02h10m32s,+33° 09',3',1.23
080710A,00h33m02s,+19° 30',3',0.85
080721A,14h57m53s,-11° 43',3',2.591
080804A,21h54m48s,-53° 12',3',2.2045
080805A,20h56m55s,-62° 26',3',1.505
080810A,23h47m07s,+00° 19',3',3.35
080825B,13h57m08s,-68° 57',3',4.3
080905A,19h10m39s,-18° 53',3',0.1218
080905B,20h06m53s,-62° 34',3',2.374
