time_sec	mag	mag_err	band	system	telescope	extcorr	source
385403.99999992456	18.07	0.02	Y	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
558895.2000000654	18.71	0.04	Y	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
645295.2000000654	19.24	0.07	Y	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
731003.9999999246	19.67	0.09	Y	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
817403.9999999246	20.09	0.14	Y	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
817753.2000002917	20.69	0.11	z	AB	PAO/VLT(8.2m)/FORS1	y	Rossi2020
212618.99999992456	18.01	0.13	z	AB	LSO/Danish(1.54m)/DFOSC	y	Rossi2020
384513.60000004526	18.73	0.01	z	AB	PAO/VLT-UT3-Melipal/VIMOS	y	Rossi2020
729502.3999999044	20.28	0.03	z	AB	PAO/VLT-UT3-Melipal/VIMOS	y	Rossi2020
816247.9999999749	20.85	0.04	z	AB	PAO/VLT-UT3-Melipal/VIMOS	y	Rossi2020
817373.9999999246	20.69	0.11	z	AB	PAO/ANTU-VLT-UT1(8.2m)/FORS1	y	Rossi2020
1161542.3999999044	22.3	0.28	z	AB	PAO/VLT-UT3-Melipal/VIMOS	y	Rossi2020
1682049.599999995	23.37	0.48	z	AB	PAO/VLT-UT3-Melipal/VIMOS	y	Rossi2020
124186.79999983404	17.69	0.02	R	AB	PAO/VLT(8.2m)/FORS1	y	Rossi2020
210774.59999986924	18.77	0.04	R	AB	PAO/VLT(8.2m)/FORS1	y	Rossi2020
297865.80000001006	19.27	0.01	R	AB	PAO/VLT(8.2m)/FORS1	y	Rossi2020
470507.99999997485	20.39	0.03	R	AB	PAO/VLT(8.2m)/FORS1	y	Rossi2020
124517.39999990445	17.69	0.02	r	AB	PAO/ANTU-VLT-UT1(8.2m)/FORS1	y	Rossi2020
210907.39999990445	18.77	0.04	r	AB	PAO/ANTU-VLT-UT1(8.2m)/FORS1	y	Rossi2020
298196.40000008047	19.28	0.01	r	AB	PAO/ANTU-VLT-UT1(8.2m)/FORS1	y	Rossi2020
385550.4000002565	19.86	0.01	r	AB	PAO/VLT-UT3-Melipal/VIMOS	y	Rossi2020
470112.3999999045	20.39	0.03	r	AB	PAO/ANTU-VLT-UT1(8.2m)/FORS1	y	Rossi2020
731243.9999999246	21.75	0.05	r	AB	PAO/VLT-UT3-Melipal/VIMOS	y	Rossi2020
817643.9999999246	22.2	0.04	r	AB	PAO/VLT-UT3-Melipal/VIMOS	y	Rossi2020
904343.9999999246	22.45	0.07	r	AB	PAO/VLT-UT3-Melipal/VIMOS	y	Rossi2020
1075502.3999999044	23.12	0.31	r	AB	PAO/VLT-UT3-Melipal/VIMOS	y	Rossi2020
388348.7999998592	22.335737610546825	0.128	B	AB	PAO/VLT(8.2m)/FORS1	y	Rossi2020
561208.7999998592	23.413737610546825	0.251	B	AB	PAO/VLT(8.2m)/FORS1	y	Rossi2020
733144.8000003118	24.187737610546826	0.363	B	AB	PAO/VLT(8.2m)/FORS1	y	Rossi2020
130095.6000000704	18.670037934272766	0.037	B	AB	LCO/Swope(1m)/CISCO	y	Rossi2020
299526.0000003269	21.32303793427277	0.126	B	AB	LCO/Swope(1m)/CISCO	y	Rossi2020
125853.36000036914	18.646737610546825	0.06	B	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	y	Rossi2020
125974.319999828	18.646737610546825	0.07	B	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	y	Rossi2020
388405.6799999205	22.126737610546826	0.14	B	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	y	Rossi2020
648340.0800002273	23.456737610546828	0.31	B	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	y	Rossi2020
206383.7000002766	18.913145749553202	0.0	B	AB	NGSO/Swift/UVOT	y	Rossi2020
269961.30000016093	19.393145749553202	0.0	B	AB	NGSO/Swift/UVOT	y	Rossi2020
319878.70000016096	18.973145749553204	0.0	B	AB	NGSO/Swift/UVOT	y	Rossi2020
517769.50000030175	19.103145749553203	0.0	B	AB	NGSO/Swift/UVOT	y	Rossi2020
102214.80000006036	18.074037934272766	0.11	B	AB	SAAO/SALT(10m)/SALTICAM	y	Rossi2020
125542.8000004124	18.694037934272767	0.11	B	AB	CTIO/LCOGT(1m)/Sinistro	y	Rossi2020
158374.80000018608	19.70403793427277	0.12	B	AB	SSO/iTelescope(T17)/CCD	y	Rossi2020
188644.80000006035	20.054037934272767	0.09	B	AB	SAAO/SALT(10m)/SALTICAM	y	Rossi2020
212032.8000004124	20.424037934272768	0.1	B	AB	CTIO/LCOGT(1m)/Sinistro	y	Rossi2020
45460.80000038725	16.874062626113414	0.07	g	AB	LSO/REM(0.6m)/TORTORA	y	Rossi2020
127225.8000001358	18.107062626113414	0.06	g	AB	Xinglong/2.16m/BFOSC	y	Rossi2020
130132.8000000352	18.145062626113415	0.068	g	AB	LSO/REM(0.6m)/TORTORA	y	Rossi2020
210484.80000006035	19.868062626113414	0.282	g	AB	LSO/REM(0.6m)/TORTORA	y	Rossi2020
301753.7999998592	20.494062626113415	0.06	g	AB	Xinglong/2.16m/BFOSC	y	Rossi2020
472016.79999995977	22.064062626113415	0.12	g	AB	PAO/ESO-VST/OMEGACAM	y	Rossi2020
474553.7999998592	21.886062626113414	0.1	g	AB	Xinglong/2.16m/BFOSC	y	Rossi2020
132082.80000016093	18.042062626113413	0.124	g	AB	LCO/Swope(1m)/CISCO	y	Rossi2020
300217.19999983907	20.325062626113414	0.049	g	AB	LCO/Swope(1m)/CISCO	y	Rossi2020
389554.8000004376	21.304062626113414	0.104	g	AB	LCO/Swope(1m)/CISCO	y	Rossi2020
125223.60000004526	18.214062626113414	0.03	g	AB	CTIO/VictorMBlanco(4m)/DECam	y	Rossi2020
211623.6000000453	19.764062626113414	0.05	g	AB	CTIO/VictorMBlanco(4m)/DECam	y	Rossi2020
298628.3999998541	20.484062626113413	0.08	g	AB	CTIO/VictorMBlanco(4m)/DECam	y	Rossi2020
385373.99999992456	21.284062626113414	0.11	g	AB	CTIO/VictorMBlanco(4m)/DECam	y	Rossi2020
855908.4000002313	23.589741576257705	0.06	F475W	AB	Hubble/HST/WFC3	y	Rossi2020
41363.28000026755	17.048785829907178	0.02	g	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	y	Rossi2020
41786.640000259504	17.048785829907178	0.04	g	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	y	Rossi2020
42089.04000016395	17.02878582990718	0.02	g	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	y	Rossi2020
125663.75999987124	18.248785829907177	0.03	g	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	y	Rossi2020
126190.80000038724	18.298785829907178	0.03	g	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	y	Rossi2020
388129.680000348	21.41878582990718	0.06	g	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	y	Rossi2020
579548.8800002122	21.836872886027336	0.0	g	AB	KO/Keck-2(10m)/DEIMOS	y	Rossi2020
648789.8399999226	22.218785829907176	0.0	g	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	y	Rossi2020
735008.4000001056	22.27878582990718	0.0	g	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	y	Rossi2020
126778.8000003621	18.044062626113412	0.04	g	AB	LSO/MPG-ESO(2.2m)/GROND	y	Rossi2020
210932.39999990445	19.744062626113415	0.11	g	AB	LSO/MPG-ESO(2.2m)/GROND	y	Rossi2020
297764.4000003068	20.684062626113413	0.16	g	AB	LSO/MPG-ESO(2.2m)/GROND	y	Rossi2020
384224.4000003068	21.134062626113412	0.22	g	AB	LSO/MPG-ESO(2.2m)/GROND	y	Rossi2020
644202.0000001509	20.054062626113414	0.0	g	AB	LSO/MPG-ESO(2.2m)/GROND	y	Rossi2020
729219.5999998692	21.754062626113413	0.0	g	AB	LSO/MPG-ESO(2.2m)/GROND	y	Rossi2020
730342.8000004124	20.554062626113414	0.0	g	AB	LSO/NTT(3.58m)/EFOSC2+LSO/NTT(3.58m)/SOFI	y	Rossi2020
303560.3999998793	20.454062626113412	0.01	g	AB	CP/Gemini-South(8.1m)/GMOS	y	Rossi2020
648213.6000002967	21.394062626113413	0.0	g	AB	CP/Gemini-South(8.1m)/GMOS	y	Rossi2020
701568.7999998592	23.299741576257706	0.42	F475W	AB	Hubble/HST/WFC3	y	Rossi2020
977271.2000003924	24.389741576257705	0.69	F475W	AB	Hubble/HST/WFC3	y	Rossi2020
986728.8000001106	24.199741576257704	0.64	F475W	AB	Hubble/HST/WFC3	y	Rossi2020
127124.4000004325	17.5792386366632	0.1	H	AB	CP/Gemini-South(8.1m)/GMOS	y	Rossi2020
210586.79999983404	17.6592386366632	0.09	H	AB	CP/Gemini-South(8.1m)/GMOS	y	Rossi2020
384077.99999997485	17.8692386366632	0.1	H	AB	CP/Gemini-South(8.1m)/GMOS	y	Rossi2020
642586.799999834	18.7392386366632	0.14	H	AB	CP/Gemini-South(8.1m)/GMOS	y	Rossi2020
730282.8000004124	19.1692386366632	0.18	H	AB	CP/Gemini-South(8.1m)/GMOS	y	Rossi2020
815732.3999999044	19.5692386366632	0.15	H	AB	CP/Gemini-South(8.1m)/GMOS	y	Rossi2020
903082.8000004124	19.9892386366632	0.15	H	AB	CP/Gemini-South(8.1m)/GMOS	y	Rossi2020
