grb,ra,dec,coorderr,z,beta,beta_err,path_AB,path_raw
040924A,02h06m19s,+16° 01',6',0.86,0.63,0.48,mag-AB-extcorr-03-05-2023/040924A_magAB_extcorr.txt,mag-03-05-2023/040924A_mag.txt
041006A,00h54m53s,+01° 12',5',0.72,0.36,0.27,mag-AB-extcorr-03-05-2023/041006A_magAB_extcorr.txt,mag-03-05-2023/041006A_mag.txt
041219A,00h24m26s,+62° 50',2',0.3,0.44,0.08,mag-AB-extcorr-03-05-2023/041219A_magAB_extcorr.txt,mag-03-05-2023/041219A_mag.txt
050126A,18h32m27s,+42° 23',4',1.29,,,mag-AB-extcorr-03-05-2023/050126A_magAB_extcorr.txt,mag-03-05-2023/050126A_mag.txt
050215B,11h37m48s,+40° 48',4',2.62,,,mag-AB-extcorr-03-05-2023/050215B_magAB_extcorr.txt,mag-03-05-2023/050215B_mag.txt
050223A,18h05m32s,-62° 30',4',0.5915,,,mag-AB-extcorr-03-05-2023/050223A_magAB_extcorr.txt,mag-03-05-2023/050223A_mag.txt
050315A,20h25m53s,-42° 35',4',1.949,,,mag-AB-extcorr-03-05-2023/050315A_magAB_extcorr.txt,mag-03-05-2023/050315A_mag.txt
050318A,03h18m43s,-46° 24',4',1.44,0.45,0.03,mag-AB-extcorr-03-05-2023/050318A_magAB_extcorr.txt,mag-03-05-2023/050318A_mag.txt
050319A,10h16m38s,+43° 34',4',3.24,0.74,0.42,mag-AB-extcorr-03-05-2023/050319A_magAB_extcorr.txt,mag-03-05-2023/050319A_mag.txt
050401A,16h31m31s,+02° 11',4',2.8992,0.39,0.05,mag-AB-extcorr-03-05-2023/050401A_magAB_extcorr.txt,mag-03-05-2023/050401A_mag.txt
050406A,02h17m43s,-50° 10',4',2.44,0.82,1.75,mag-AB-extcorr-03-05-2023/050406A_magAB_extcorr.txt,mag-03-05-2023/050406A_mag.txt
050408A,12h01m55s,+10° 52',2.5',1.24,0.28,0.33,mag-AB-extcorr-03-05-2023/050408A_magAB_extcorr.txt,mag-03-05-2023/050408A_mag.txt
050416A,12h33m54s,+21° 03',4',0.65,0.92,0.3,mag-AB-extcorr-03-05-2023/050416A_magAB_extcorr.txt,mag-03-05-2023/050416A_mag.txt
050502A,13h29m46s,+42° 40',3',3.79,0.76,0.16,mag-AB-extcorr-03-05-2023/050502A_magAB_extcorr.txt,mag-03-05-2023/050502A_mag.txt
050502B,09h30m10s,+17° 00',4',5.2,0.9,0.1,mag-AB-extcorr-03-05-2023/050502B_magAB_extcorr.txt,mag-03-05-2023/050502B_mag.txt
050505A,09h27m08s,+30° 15',4',4.27,0.41,0.06,mag-AB-extcorr-03-05-2023/050505A_magAB_extcorr.txt,mag-03-05-2023/050505A_mag.txt
050525A,18h32m35s,+26° 20',4',0.61,0.97,0.1,mag-AB-extcorr-03-05-2023/050525A_magAB_extcorr.txt,mag-03-05-2023/050525A_mag.txt
050603A,02h39m55s,-25° 11',4',2.821,0.2,0.1,mag-AB-extcorr-03-05-2023/050603A_magAB_extcorr.txt,mag-03-05-2023/050603A_mag.txt
050709A,23h01m30s,-38° 59',1.3',0.1606,2.3,0.7,mag-AB-extcorr-03-05-2023/050709A_magAB_extcorr.txt,mag-03-05-2023/050709A_mag.txt
050724A,16h24m51s,-27° 31',4',0.258,0.78,0.07,mag-AB-extcorr-03-05-2023/050724A_magAB_extcorr.txt,mag-03-05-2023/050724A_mag.txt
050730A,14h08m16s,-03° 46',4',3.97,0.52,0.05,mag-AB-extcorr-03-05-2023/050730A_magAB_extcorr.txt,mag-03-05-2023/050730A_mag.txt
050801A,13h36m33s,-21° 57',4',1.56,1,0.16,mag-AB-extcorr-03-05-2023/050801A_magAB_extcorr.txt,mag-03-05-2023/050801A_mag.txt
050802A,14h37m09s,+27° 48',4',1.7102,,,mag-AB-extcorr-03-05-2023/050802A_magAB_extcorr.txt,mag-03-05-2023/050802A_mag.txt
050803A,23h22m36s,+05° 48',4',3.5,,,mag-AB-extcorr-03-05-2023/050803A_magAB_extcorr.txt,mag-03-05-2023/050803A_mag.txt
050814A,17h36m49s,+46° 20',4',5.77,0.9,0.5,mag-AB-extcorr-03-05-2023/050814A_magAB_extcorr.txt,mag-03-05-2023/050814A_mag.txt
