filter_id	lambda_eff	zp_v	mag_fromVega_toST	mag_fromVega_toAB
"ARIES.DOT(3,6m).None.None.H"	16511.05	1000.22	notfound	notfound
"ARIES.DOT(3,6m).None.None.J"	12691.14	1495.03	notfound	notfound
"ARIES.DOT(3,6m).None.None.K"	22354.99	612.67	notfound	notfound
"ARIES.DOT(3,6m).None.None.Kcont"	22744.57	597.44	notfound	notfound
Astrosat.UVIT.None.None.BK7	4200	3631	notfound	notfound
Astrosat.UVIT.None.None.F148W	1481	3631	-0.511478	2.301383
Astrosat.UVIT.None.None.F154W	1541	3631	-0.507695	2.318347
Astrosat.UVIT.None.None.F169M	1608	3631	-0.655051	2.014355
Astrosat.UVIT.None.None.F172M	1717	3631	-0.605145	1.913212
Astrosat.UVIT.None.None.N219M	2196	3631	-0.275667	1.693668
Astrosat.UVIT.None.None.N242W	2418	3631	-0.149361	1.628923
Astrosat.UVIT.None.None.N245M	2447	3631	-0.086757	1.662303
Astrosat.UVIT.None.None.N263M	2632	3631	-0.040787	1.538884
Astrosat.UVIT.None.None.N279N	2792	3631	0.019904	1.482277
Astrosat.UVIT.None.None.ND1	4354	3631	notfound	notfound
Astrosat.UVIT.None.None.VIS1	3466	3631	notfound	notfound
Astrosat.UVIT.None.None.VIS2	3909	3631	notfound	notfound
Astrosat.UVIT.None.None.VIS3	4614	3631	notfound	notfound
"CAHA.1,23m.PlanetCam.None.B"	4433.99	4012.92	notfound	notfound
"CAHA.1,23m.PlanetCam.None.C1"	6352.35	3106.27	notfound	notfound
"CAHA.1,23m.PlanetCam.None.C2"	7498.34	2601.39	notfound	notfound
"CAHA.1,23m.PlanetCam.None.C3"	9356.17	2392.97	notfound	notfound
"CAHA.1,23m.PlanetCam.None.H"	16163.74	1043.33	notfound	notfound
"CAHA.1,23m.PlanetCam.None.HC"	15701.57	1091.36	notfound	notfound
"CAHA.1,23m.PlanetCam.None.HM"	18110.37	875.65	notfound	notfound
"CAHA.1,23m.PlanetCam.None.I"	7800.33	2468.16	notfound	notfound
"CAHA.1,23m.PlanetCam.None.J"	12729.33	1491.97	notfound	notfound
