filter_id	lambda_eff	zp_v	mag_fromVega_toST	mag_fromVega_toAB
Hubble.HST.WFPC.None.F284W	2891.54	1014.84	notfound	notfound
Hubble.HST.WFPC.None.F336W	3389.59	1260.74	notfound	notfound
Hubble.HST.WFPC.None.F368M	3717.55	1741.13	notfound	notfound
Hubble.HST.WFPC.None.F375N	3762.63	1962.86	notfound	notfound
Hubble.HST.WFPC.None.F413M	4129.87	4237.85	notfound	notfound
Hubble.HST.WFPC.None.F437N	4366.72	3900.49	notfound	notfound
Hubble.HST.WFPC.None.F439W	4367.81	4222.78	notfound	notfound
Hubble.HST.WFPC.None.F469N	4687.17	4235.37	notfound	notfound
Hubble.HST.WFPC.None.F487N	4869.88	2757.37	notfound	notfound
Hubble.HST.WFPC.None.F492M	4909.61	3880.95	notfound	notfound
Hubble.HST.WFPC.None.F502N	5018.52	3943.8	notfound	notfound
Hubble.HST.WFPC.None.F517N	5169.92	3820.24	notfound	notfound
Hubble.HST.WFPC.None.F547M	5452.47	3630.76	notfound	notfound
Hubble.HST.WFPC.None.F555W	5410.56	3612.69	notfound	notfound
Hubble.HST.WFPC.None.F569W	5583.41	3535.22	notfound	notfound
Hubble.HST.WFPC.None.F588N	5879.78	3360.21	notfound	notfound
Hubble.HST.WFPC.None.F606W	5815.7	3351.94	notfound	notfound
Hubble.HST.WFPC.None.F622W	6118.58	3194.32	notfound	notfound
Hubble.HST.WFPC.None.F631N	6306.22	3127.34	notfound	notfound
Hubble.HST.WFPC.None.F648M	6464.51	2963.47	notfound	notfound
Hubble.HST.WFPC.None.F656N	6558.27	2214.71	notfound	notfound
Hubble.HST.WFPC.None.F658N	6577.07	2401.57	notfound	notfound
Hubble.HST.WFPC.None.F664N	6640.21	2805.55	notfound	notfound
Hubble.HST.WFPC.None.F673N	6722.58	2916.47	notfound	notfound
Hubble.HST.WFPC.None.F675W	6668.77	2905.96	notfound	notfound
Hubble.HST.WFPC.None.F702W	6842.38	2830.49	notfound	notfound
Hubble.HST.WFPC.None.F718M	7149.86	2723.6	notfound	notfound
Hubble.HST.WFPC.None.F725LP	8423.28	2347.06	notfound	notfound
Hubble.HST.WFPC.None.F785LP	8909.46	2245.09	notfound	notfound
Hubble.HST.WFPC.None.F791W	7850.44	2461.86	notfound	notfound
Hubble.HST.WFPC.None.F814W	8052.32	2430.73	notfound	notfound
Hubble.HST.WFPC.None.F850LP	9318.6	2200.18	notfound	notfound
Hubble.HST.WFPC.None.F875M	8760	2253.48	notfound	notfound
Hubble.HST.WFPC.None.F889N	8889.27	2214.3	notfound	notfound
Hubble.HST.WFPC.None.F8ND	5894.07	2976.84	notfound	notfound
Hubble.HST.WFPC.None.G200	5144.31	2754.14	notfound	notfound
Hubble.HST.WFPC.None.G200M2	1555.4	466.88	notfound	notfound
Hubble.HST.WFPC.None.G450	4940.91	3647.78	notfound	notfound
Hubble.HST.WFPC.None.G800	7258.63	2700.43	notfound	notfound
Hubble.HST.WFPC2.None.F1042M	10223.11	2022.23	notfound	notfound
Hubble.HST.WFPC2.None.F122M	2957.12	247.3	notfound	notfound
Hubble.HST.WFPC2.None.F130LP	5736.3	2752.32	notfound	notfound
Hubble.HST.WFPC2.None.F157W	2053.58	486.87	notfound	notfound
Hubble.HST.WFPC2.None.F160BW	1594.59	423.32	notfound	notfound
Hubble.HST.WFPC2.None.F165LP	5747.42	2788	notfound	notfound
Hubble.HST.WFPC2.None.F170W	1904.87	656.84	notfound	notfound
Hubble.HST.WFPC2.None.F185W	1973.36	742.11	notfound	notfound
Hubble.HST.WFPC2.None.F218W	2201.27	780.2	-0.278397	1.696001
Hubble.HST.WFPC2.None.F255W	2610.17	868.87	-0.050464	1.565908
Hubble.HST.WFPC2.None.F300W	3028.67	1074.23	0.026125	1.336668
Hubble.HST.WFPC2.None.F336W	3349.48	1240.63	0.12263	1.183504
Hubble.HST.WFPC2.None.F343N	3426.95	1281.23	notfound	notfound
Hubble.HST.WFPC2.None.F375N	3732.92	1652.6	notfound	notfound
Hubble.HST.WFPC2.None.F380W	4066	3248.11	notfound	notfound
Hubble.HST.WFPC2.None.F390N	3888.54	3427.54	notfound	notfound
Hubble.HST.WFPC2.None.F410M	4087.43	4189.41	notfound	notfound
Hubble.HST.WFPC2.None.F437N	4370.16	3977.27	notfound	notfound
Hubble.HST.WFPC2.None.F439W	4309.61	4202.11	-0.664368	-0.145544
Hubble.HST.WFPC2.None.F450W	4545.4	3964.72	-0.484289	-0.084954
Hubble.HST.WFPC2.None.F467M	4668.23	4223.32	notfound	notfound
Hubble.HST.WFPC2.None.F469N	4694.33	4229.75	notfound	notfound
Hubble.HST.WFPC2.None.F487N	4865.89	2659.77	notfound	notfound
Hubble.HST.WFPC2.None.F502N	5012.37	3949.67	notfound	notfound
Hubble.HST.WFPC2.None.F547M	5472.54	3618.49	notfound	notfound
Hubble.HST.WFPC2.None.F555W	5370.54	3643.7	-0.0159	-0.001464
Hubble.HST.WFPC2.None.F569W	5597.62	3526.15	notfound	notfound
Hubble.HST.WFPC2.None.F588N	5893.41	3355.12	notfound	notfound
Hubble.HST.WFPC2.None.F606W	5898.88	3306.13	0.297727	0.100171
Hubble.HST.WFPC2.None.F622W	6145.56	3178.67	notfound	0.406463
Hubble.HST.WFPC2.None.F631N	6306.31	3127.94	notfound	0.141358
Hubble.HST.WFPC2.None.F656N	6563.76	2224.41	notfound	notfound
Hubble.HST.WFPC2.None.F658N	6591.7	2678.94	notfound	notfound
Hubble.HST.WFPC2.None.F673N	6732.17	2912.39	notfound	notfound
Hubble.HST.WFPC2.None.F675W	6687.54	2895.92	0.68364	0.23969
Hubble.HST.WFPC2.None.F702W	6839.84	2830.63	0	0.26
Hubble.HST.WFPC2.None.F785LP	8655.58	2281.23	notfound	notfound
Hubble.HST.WFPC2.None.F791W	7823.46	2467.85	1.201484	0.410745
Hubble.HST.WFPC2.None.F814W	7929.85	2453.81	1.243529	0.416817
Hubble.HST.WFPC2.None.F850LP	9101.95	2233.99	1.628746	0.518736
Hubble.HST.WFPC2.None.F953N	6507.67	2522.95	notfound	notfound
Hubble.HST.WFPC2.None.FQCH4N	5435.33	3642.39	notfound	notfound
Hubble.HST.WFPC2.None.FQCH4N33	6199.37	3187.47	notfound	notfound
Hubble.HST.WFPC2.None.FQUVN	3770.13	2052.86	notfound	notfound
Hubble.HST.WFPC2.None.FQUVN33	3770.12	2052.65	notfound	notfound
"IAO.HCT(2,01m).HFOSC.Bessel.B"	4573.92	3953.33	notfound	notfound
"IAO.HCT(2,01m).HFOSC.Bessel.I"	8215.54	2348.17	notfound	notfound
"IAO.HCT(2,01m).HFOSC.Bessel.R"	6484.19	3018.65	notfound	notfound
"IAO.HCT(2,01m).HFOSC.Bessel.U"	3726.31	1773.53	notfound	notfound
"IAO.HCT(2,01m).HFOSC.Bessel.V"	5696.92	3461.72	notfound	notfound
"IAO.HCT(2,01m).TIRSPEC.None.H"	16270.13	1022.81	notfound	notfound
"IAO.HCT(2,01m).TIRSPEC.None.J"	12465.03	1535.7	notfound	notfound
"IAO.HCT(2,01m).TIRSPEC.None.K"	21817.09	639.23	notfound	notfound
"IAO.HCT(2,01m).TIRSPEC.None.Kcont"	22729.42	598.13	notfound	notfound
"IAO.HCT(2,01m).TIRSPEC.None.Kshort"	21363.33	663.15	notfound	notfound
"Izana.Stella-I(1,2m).None.Bessel.B"	4336.91	4033.54	notfound	notfound
"Izana.Stella-I(1,2m).None.Bessel.I"	8578.37	2273.92	notfound	notfound
"Izana.Stella-I(1,2m).None.Bessel.R"	6313.53	3040.17	notfound	notfound
"Izana.Stella-I(1,2m).None.Bessel.U"	3704.35	1871.17	notfound	notfound
"Izana.Stella-I(1,2m).None.Sloan.g"	4647.02	3944.35	notfound	notfound
"Izana.Stella-I(1,2m).None.Sloan.i"	7628.04	2527.78	notfound	notfound
"Izana.Stella-I(1,2m).None.Sloan.r"	6121.14	3159.78	notfound	notfound
"Izana.Stella-I(1,2m).None.Sloan.u"	3600.55	1542.24	notfound	notfound
"Izana.Stella-I(1,2m).None.Sloan.z"	9499.36	2139.25	notfound	notfound
"Izana.Stella-I(1,2m).None.Stromgren.b"	4664.02	4219.51	notfound	notfound
"Izana.Stella-I(1,2m).None.Stromgren.u"	3497.61	1284.74	notfound	notfound
"Izana.Stella-I(1,2m).None.Stromgren.v"	4101.99	4200.74	notfound	notfound
"Izana.Stella-I(1,2m).None.Stromgren.y"	5502.58	3593.47	notfound	notfound
KO.Keck-1.LRIS.None.B	4320.88	3863.01	notfound	notfound
KO.Keck-1.LRIS.None.g	4706.33	4027.71	notfound	notfound
KO.Keck-1.LRIS.None.I	7549.14	2557.05	notfound	notfound
KO.Keck-1.LRIS.None.R	6303.93	3099.84	notfound	notfound
KO.Keck-1.LRIS.None.Rs	6734.34	2874.85	notfound	notfound
KO.Keck-1.LRIS.None.V	5403.59	3647.6	notfound	notfound
KO.Keck-1.LWS.None.N	95317.17	36.98	notfound	notfound
KO.Keck-2(10m).ESI.None.B	4433.1	4078.77	notfound	notfound
KO.Keck-2(10m).ESI.None.R	6627.62	2922.94	notfound	notfound
KO.Keck-2(10m).ESI.None.V	5422.25	3650.31	notfound	notfound
KO.Keck-2(10m).LRIS.None.B	4322.14	3900.17	notfound	notfound
KO.Keck-2(10m).LRIS.None.g	4706.79	3989.43	notfound	notfound
KO.Keck-2(10m).LRIS.None.I	7549.74	2561.13	notfound	notfound
KO.Keck-2(10m).LRIS.None.R	6305.12	3049.24	notfound	notfound
KO.Keck-2(10m).LRIS.None.Rs	6734.88	2865.51	notfound	notfound
KO.Keck-2(10m).LRIS.None.V	5403.69	3605.48	notfound	notfound
KO.Keck-2(10m).NIRC2.None.H	16197.95	1040.4	notfound	notfound
KO.Keck-2(10m).NIRC2.None.Hcont	15851.95	1075.48	notfound	notfound
KO.Keck-2(10m).NIRC2.None.J	12434.47	1558.92	notfound	notfound
KO.Keck-2(10m).NIRC2.None.K	21862.08	646.74	notfound	notfound
KO.Keck-2(10m).NIRC2.None.Kcont	22874.36	605.77	notfound	notfound
KO.Keck-2(10m).NIRC2.None.Kp	21084.52	686.49	notfound	notfound
KO.Keck-2(10m).NIRC2.None.Ks	21354.7	674.11	notfound	notfound
KO.Keck-2(10m).NIRC2.None.Lp	37433.02	246.72	notfound	notfound
KO.Keck-2(10m).NIRC2.None.Ms	46659.97	165.71	notfound	notfound
KO.Keck-2(10m).NIRSPEC.None.K	21678.86	646.46	notfound	notfound
KO.Keck-2(10m).NIRSPEC.None.Kp	21056.46	679.87	notfound	notfound
KO.Keck-2(10m).NIRSPEC.None.Lp	37452.59	243.34	notfound	notfound
KO.Keck-2(10m).NIRSPEC.None.M	49048.13	147.45	notfound	notfound
KO.Keck-2(10m).NIRSPEC.None.Mp	46840.72	160.34	notfound	notfound
KO.Keck-2(10m).NIRSPEC.None.N1	10284.87	2015.09	notfound	notfound
KO.Keck-2(10m).NIRSPEC.None.N2	11831.27	1655.04	notfound	notfound
KO.Keck-2(10m).NIRSPEC.None.N3	12507.72	1529.46	notfound	notfound
KO.Keck-2(10m).NIRSPEC.None.N4	13966.21	1288.15	notfound	notfound
KO.Keck-2(10m).NIRSPEC.None.N5	16059.82	1043.2	notfound	notfound
KO.Keck-2(10m).NIRSPEC.None.N6	18753.5	812.95	notfound	notfound
KO.Keck-2(10m).NIRSPEC.None.N7	21895.37	629.85	notfound	notfound
"KPNO.(2,1m).FLAMINGOS.Barr.H"	16221.28	1039.16	notfound	notfound
"KPNO.(2,1m).FLAMINGOS.Barr.J"	12407.9	1565.02	notfound	notfound
"KPNO.(2,1m).FLAMINGOS.Barr.Ks"	21310.4	676.49	notfound	notfound
"KPNO.(2,1m).FLAMINGOS.None.K"	21842.39	647.61	notfound	notfound
"KPNO.(2,1m).KP4in.Gunn.g"	4929.31	3886.85	notfound	notfound
"KPNO.(2,1m).KP4in.Gunn.I"	8102.76	2370.34	notfound	notfound
"KPNO.(2,1m).KP4in.Gunn.r"	6467.85	2989.69	notfound	notfound
"KPNO.(2,1m).KP4in.Gunn.u"	3454.31	1289.33	notfound	notfound
"KPNO.(2,1m).KP4in.Gunn.v"	4007.77	3427.53	notfound	notfound
"KPNO.(2,1m).KP4in.Gunn.z"	9952.11	2020.15	notfound	notfound
"KPNO.(2,1m).KP4in.Stromgren.b"	4723.33	4118.35	notfound	notfound
"KPNO.(2,1m).KP4in.Stromgren.u"	3533.36	1310.17	notfound	notfound
"KPNO.(2,1m).KP4in.Stromgren.v"	4100.05	4144.34	notfound	notfound
"KPNO.(2,1m).KP4in.Stromgren.y"	5502.97	3592.37	notfound	notfound
"KPNO.BOK(2,3m).None.None.B"	4306.97	3946.17	notfound	notfound
"KPNO.BOK(2,3m).None.None.g"	4708.37	3928	notfound	notfound
"KPNO.BOK(2,3m).None.None.I"	8530.19	2282.95	notfound	notfound
"KPNO.BOK(2,3m).None.None.R"	6287.91	3055.31	notfound	notfound
"KPNO.BOK(2,3m).None.None.r"	6353.28	3039.1	notfound	notfound
"KPNO.BOK(2,3m).None.None.U"	3674.22	1806.67	notfound	notfound
"KPNO.BOK(2,3m).None.None.u"	3532.79	1416.15	notfound	notfound
"KPNO.BOK(2,3m).None.None.V"	5297.94	3677.34	notfound	notfound
"KPNO.BOK(2,3m).None.SDSS.up"	3508.54	1385.28	notfound	notfound
"KPNO.BOK(2,3m).None.SDSS.zp"	9812.51	2032.45	notfound	notfound
KPNO.NicholasUMayall(4m).Mosaic1.Dey.U	3478.59	1277.91	notfound	notfound
KPNO.NicholasUMayall(4m).Mosaic1.Harris.B	4358.52	3954.52	notfound	-0.098
KPNO.NicholasUMayall(4m).Mosaic1.Harris.R	6454.66	2945.77	notfound	0.245
KPNO.NicholasUMayall(4m).Mosaic1.Harris.V	5366.3	3631.96	notfound	0.012
KPNO.NicholasUMayall(4m).Mosaic1.NearlyMould.I	8100.9	2384.11	notfound	0.489
KPNO.NicholasUMayall(4m).Mosaic1.None.U	3630.4	1681.2	notfound	0.882
KPNO.NicholasUMayall(4m).Mosaic1.None.white	5449.73	2549.12	notfound	notfound
KPNO.NicholasUMayall(4m).Mosaic1.SDSS.g	4666.47	3951.59	notfound	-0.082
KPNO.NicholasUMayall(4m).Mosaic1.SDSS.i	7633.71	2519.86	notfound	0.391
KPNO.NicholasUMayall(4m).Mosaic1.SDSS.r	6197.8	3116.92	notfound	0.159
KPNO.NicholasUMayall(4m).Mosaic1.SDSS.z	9502.85	2140.35	notfound	0.529
KPNO.NicholasUMayall(4m).Mosaic1.solid.U	3710.17	1945.37	notfound	0.81
KPNO.NicholasUMayall(4m).Mosaic1.Steidel.Gn	4764.85	4006.88	notfound	-0.106
KPNO.NicholasUMayall(4m).Mosaic1.Steidel.Rs	6915.62	2790.18	notfound	0.278
KPNO.NicholasUMayall(4m).Mosaic1.Steidel.Un	3520.54	1406.56	notfound	0.949
KPNO.NicholasUMayall(4m).Mosaic1DECam.None.g	4648.82	3951.93	notfound	notfound
KPNO.NicholasUMayall(4m).Mosaic1DECam.None.r	6316.21	3058.48	notfound	notfound
KPNO.NicholasUMayall(4m).Mosaic1DECam.None.z	9239.74	2243.51	notfound	notfound
KPNO.NicholasUMayall(4m).Mosaic3.Dey.U	3478.59	1277.91	notfound	notfound
KPNO.NicholasUMayall(4m).Mosaic3.Harris.B	4358.52	3954.52	notfound	-0.098
KPNO.NicholasUMayall(4m).Mosaic3.Harris.R	6454.66	2945.77	notfound	0.245
KPNO.NicholasUMayall(4m).Mosaic3.Harris.V	5366.3	3631.96	notfound	0.012
KPNO.NicholasUMayall(4m).Mosaic3.NearlyMould.I	8100.9	2384.11	notfound	0.489
KPNO.NicholasUMayall(4m).Mosaic3.None.U	3630.4	1681.2	notfound	0.882
KPNO.NicholasUMayall(4m).Mosaic3.None.white	5449.73	2549.12	notfound	notfound
KPNO.NicholasUMayall(4m).Mosaic3.SDSS.g	4666.47	3951.59	notfound	-0.082
KPNO.NicholasUMayall(4m).Mosaic3.SDSS.i	7633.71	2519.86	notfound	0.391
KPNO.NicholasUMayall(4m).Mosaic3.SDSS.r	6197.8	3116.92	notfound	0.159
KPNO.NicholasUMayall(4m).Mosaic3.SDSS.z	9502.85	2140.35	notfound	0.529
KPNO.NicholasUMayall(4m).Mosaic3.solid.U	3710.17	1945.37	notfound	0.81
KPNO.NicholasUMayall(4m).Mosaic3.Steidel.Gn	4764.85	4006.88	notfound	-0.106
KPNO.NicholasUMayall(4m).Mosaic3.Steidel.Rs	6915.62	2790.18	notfound	0.278
KPNO.NicholasUMayall(4m).Mosaic3.Steidel.Un	3520.54	1406.56	notfound	0.949
KPNO.NicholasUMayall(4m).MosaicDECam.None.g	4648.82	3951.93	notfound	notfound
KPNO.NicholasUMayall(4m).MosaicDECam.None.r	6316.21	3058.48	notfound	notfound
KPNO.NicholasUMayall(4m).MosaicDECam.None.z	9239.74	2243.51	notfound	notfound
KPNO.NicholasUMayall(4m).MzLS.None.z	9188.26	2245.72	notfound	notfound
KPNO.None.TIFKAM.Barr.H	16315.24	1028.99	notfound	notfound
KPNO.None.TIFKAM.Barr.J	12509.22	1526.41	notfound	notfound
KPNO.None.TIFKAM.Barr.K	21882.23	642.03	notfound	notfound
KPNO.None.TIFKAM.OCLI.Ks	21050.63	688.55	notfound	notfound
"KPNO.WIYN(3,5m).NESSI.None.g"	4743.76	3909.56	notfound	-0.082
"KPNO.WIYN(3,5m).NESSI.None.i"	7589.45	2539.24	notfound	0.391
"KPNO.WIYN(3,5m).NESSI.None.r"	6144.21	3141.45	notfound	0.159
"KPNO.WIYN(3,5m).NESSI.None.u"	3553.01	1410.23	notfound	0.927
"KPNO.WIYN(3,5m).NESSI.None.z"	9390.28	2182.43	notfound	0.529
"KPNO.WIYN(3,5m).ODI.None.gp"	4702.07	3929.07	notfound	notfound
"KPNO.WIYN(3,5m).ODI.None.ip"	7508.24	2575.65	notfound	notfound
"KPNO.WIYN(3,5m).ODI.None.rp"	6136.27	3150.42	notfound	notfound
"KPNO.WIYN(3,5m).ODI.None.up"	3619.5	1623.09	notfound	notfound
"KPNO.WIYN(3,5m).ODI.None.zp"	8667.78	2278.65	notfound	notfound
"KPNO.WIYN(3,5m).WHIRC.MKO.H"	16499.41	1013.29	notfound	notfound
"KPNO.WIYN(3,5m).WHIRC.MKO.J"	12440.01	1558.7	notfound	notfound
"KPNO.WIYN(3,5m).WHIRC.MKO.Ks"	21606.97	659.65	notfound	notfound
"Kyoto.Seimei(3,8m).KOOLS-IFU.None.Ic"	7901.66	2422.5	notfound	0.5
"Kyoto.Seimei(3,8m).KOOLS-IFU.None.Rc"	6480.51	2981.59	notfound	0.2
"Kyoto.Seimei(3,8m).KOOLS-IFU.SDSS.g"	4710.96	3936.55	notfound	notfound
"Kyoto.Seimei(3,8m).KOOLS-IFU.SDSS.z"	9569.63	2128.65	notfound	notfound
LANL.ROTSE-III.None.None.R	5497.19	2969.14	notfound	notfound
"LCO.duPont(2,5m).CAPSCam.None.z"	8586.11	2285.15	notfound	notfound
"LCO.duPont(2,5m).CSP2.None.H"	16137.42	1046.3	notfound	notfound
"LCO.duPont(2,5m).CSPWIRC.None.H"	16159.34	1044.07	notfound	notfound
"LCO.duPont(2,5m).CSPWIRC.None.J"	12368.76	1566.76	notfound	notfound
"LCO.duPont(2,5m).CSPWIRC.None.Y"	10429.3	1998.58	notfound	notfound
"LCO.duPont(2,5m).RetroCam.None.J"	12381.41	1563.64	notfound	notfound
"LCO.duPont(2,5m).RetroCam.None.Y"	10365.27	2014.84	notfound	notfound
"LCO.duPont(2,5m).WFIRC.None.H"	16159.34	1044.07	notfound	notfound
"LCO.duPont(2,5m).WFIRC.None.J"	12368.76	1566.76	notfound	notfound
"LCO.duPont(2,5m).WFIRC.None.Y"	10429.3	1998.58	notfound	notfound
"LCO.Magellan1Baade(6,5m).FourStar.None.H"	16040.26	1054.88	notfound	notfound
"LCO.Magellan1Baade(6,5m).FourStar.None.Hlong"	17000.58	980.71	notfound	notfound
"LCO.Magellan1Baade(6,5m).FourStar.None.Hshort"	15479.44	1119.08	notfound	notfound
"LCO.Magellan1Baade(6,5m).FourStar.None.J"	12287.96	1581.24	notfound	notfound
"LCO.Magellan1Baade(6,5m).FourStar.None.J1"	10521.29	1978.67	notfound	notfound
"LCO.Magellan1Baade(6,5m).FourStar.None.J2"	11407.31	1774.54	notfound	notfound
"LCO.Magellan1Baade(6,5m).FourStar.None.J3"	12835.08	1488.8	notfound	notfound
"LCO.Magellan1Baade(6,5m).FourStar.None.Ks"	21316.11	675.67	notfound	notfound
"LCO.Magellan1Baade(6,5m).IMACS.Bessel.B"	4314.24	3861.2	notfound	notfound
"LCO.Magellan1Baade(6,5m).IMACS.Bessel.R"	6438.05	2955.52	notfound	notfound
"LCO.Magellan1Baade(6,5m).IMACS.Bessel.V"	5381.28	3631.6	notfound	notfound
"LCO.Magellan1Baade(6,5m).IMACS.Bessel.B1"	4314.24	3861.2	notfound	notfound
"LCO.Magellan1Baade(6,5m).IMACS.Bessel.B2"	4313.83	3893.44	notfound	notfound
"LCO.Magellan1Baade(6,5m).IMACS.Bessel.R1"	6438.05	2955.52	notfound	notfound
"LCO.Magellan1Baade(6,5m).IMACS.Bessel.R2"	6439.05	2955.4	notfound	notfound
"LCO.Magellan1Baade(6,5m).IMACS.Bessel.V1"	5381.28	3631.6	notfound	notfound
"LCO.Magellan1Baade(6,5m).IMACS.Bessel.V2"	5389.14	3624.41	notfound	notfound
"LCO.Magellan1Baade(6,5m).IMACS.CTIO.I"	7957.02	2407.97	notfound	notfound
"LCO.Magellan1Baade(6,5m).IMACS.None.Z1"	5321.14	3470.5	notfound	notfound
"LCO.Magellan1Baade(6,5m).IMACS.None.Z2"	6184.14	3031.6	notfound	notfound
"LCO.Magellan1Baade(6,5m).IMACS.None.Z3"	7147.17	2636.72	notfound	notfound
"LCO.Magellan1Baade(6,5m).IMACS.SDSS.gp"	4678.24	3952.36	notfound	notfound
"LCO.Magellan1Baade(6,5m).IMACS.SDSS.ip"	7655.05	2512.01	notfound	notfound
"LCO.Magellan1Baade(6,5m).IMACS.SDSS.rp"	6463.84	2994.84	notfound	notfound
"LCO.Magellan1Baade(6,5m).IMACS.SDSS.up"	3646.89	1524.38	notfound	notfound
"LCO.Magellan1Baade(6,5m).IMACS.SDSS.zp"	9558.01	2120.68	notfound	notfound
"LCO.Magellan1Baade(6,5m).MAGIC.Harris.B"	4300.43	3845.86	notfound	0.131
"LCO.Magellan1Baade(6,5m).MAGIC.Mould.I"	8158.09	2371.33	notfound	notfound
"LCO.Magellan1Baade(6,5m).MAGIC.None.R"	6427.35	2958.69	notfound	notfound
"LCO.Magellan1Baade(6,5m).MAGIC.None.V"	5377.82	3629.53	notfound	notfound
"LCO.Magellan1Baade(6,5m).MAGIC.SDSS.gp"	4734.07	3960.13	notfound	notfound
"LCO.Magellan1Baade(6,5m).MAGIC.SDSS.ip"	7566.25	2548.38	notfound	notfound
"LCO.Magellan1Baade(6,5m).MAGIC.SDSS.rp"	6101.68	3168.34	notfound	notfound
"LCO.Magellan1Baade(6,5m).MAGIC.SDSS.up"	3594.4	1524.61	notfound	notfound
"LCO.Magellan1Baade(6,5m).MAGIC.SDSS.zp"	9037.98	2255.39	notfound	notfound
"LCO.Magellan1Baade(6,5m).OGLEIV.None.I"	7968.7	2408.32	notfound	notfound
"LCO.Magellan1Baade(6,5m).OGLEIV.None.V"	5344.6	3687.46	notfound	notfound
"LCO.Magellan1Baade(6,5m).WF.None.B"	4386.32	4007.45	notfound	notfound
"LCO.Magellan1Baade(6,5m).WF.None.I"	8439.12	2327.37	notfound	notfound
"LCO.Magellan1Baade(6,5m).WF.None.R"	6393.45	2998.11	notfound	notfound
"LCO.Magellan1Baade(6,5m).WF.None.V"	5368.94	3633.48	notfound	notfound
"LCO.Magellan1Baade(6,5m).TEK5.Bessel.B"	4314.24	3861.2	notfound	notfound
"LCO.Magellan1Baade(6,5m).TEK5.Bessel.R"	6438.05	2955.52	notfound	notfound
"LCO.Magellan1Baade(6,5m).TEK5.Bessel.V"	5381.28	3631.6	notfound	notfound
"LCO.Magellan1Baade(6,5m).TEK5.CTIO.I"	7957.02	2407.97	notfound	notfound
"LCO.Magellan1Baade(6,5m).NICMOS.None.H"	16040.26	1054.88	notfound	notfound
"LCO.Magellan1Baade(6,5m).NICMOS.None.Hlong"	17000.58	980.71	notfound	notfound
"LCO.Magellan1Baade(6,5m).NICMOS.None.Hshort"	15479.44	1119.08	notfound	notfound
"LCO.Magellan1Baade(6,5m).NICMOS.None.J"	12287.96	1581.24	notfound	notfound
"LCO.Magellan1Baade(6,5m).NICMOS.Bessel.B"	4314.24	3861.2	notfound	notfound
"LCO.Magellan1Baade(6,5m).NICMOS.Bessel.R"	6438.05	2955.52	notfound	notfound
"LCO.Magellan1Baade(6,5m).NICMOS.Bessel.V"	5381.28	3631.6	notfound	notfound
"LCO.Magellan1Baade(6,5m).NICMOS.CTIO.I"	7957.02	2407.97	notfound	notfound
"LCO.Magellan1Baade(6,5m).LDSS-2.Johnson.B"	4855	3897.71	notfound	notfound
"LCO.Magellan1Baade(6,5m).LDSS-2.Johnson.V"	5339.32	3562	notfound	notfound
"LCO.Magellan1Baade(6,5m).LDSS-2.Johnson.R"	7606.15	2935.65	notfound	notfound
"LCO.Magellan1Baade(6,5m).LDSS-2.Johnson.I"	8232.9	2347.46	notfound	notfound
"LCO.Magellan1Baade(6,5m).LDSS-2.SDSS.gp"	5118.5	3812.91	notfound	notfound
"LCO.Magellan1Baade(6,5m).LDSS-2.SDSS.rp"	6378.6	3149.8	notfound	notfound
"LCO.Magellan1Baade(6,5m).LDSS-2.SDSS.ip"	7798.3	2579.1	notfound	notfound
"LCO.Magellan1Baade(6,5m).LDSS-2.SDSS.zp"	8449.9	2129.91	notfound	notfound
"LCO.Magellan2Clay(6,5m).LDSS-2.Johnson.B"	4855	3897.71	notfound	notfound
"LCO.Magellan2Clay(6,5m).LDSS-2.Johnson.V"	5339.32	3562	notfound	notfound
"LCO.Magellan2Clay(6,5m).LDSS-2.Johnson.R"	7606.15	2935.65	notfound	notfound
"LCO.Magellan2Clay(6,5m).LDSS-2.Johnson.I"	8232.9	2347.46	notfound	notfound
"LCO.Magellan2Clay(6,5m).LDSS-2.SDSS.gp"	5118.5	3812.91	notfound	notfound
"LCO.Magellan2Clay(6,5m).LDSS-2.SDSS.rp"	6378.6	3149.8	notfound	notfound
"LCO.Magellan2Clay(6,5m).LDSS-2.SDSS.ip"	7798.3	2579.1	notfound	notfound
"LCO.Magellan2Clay(6,5m).LDSS-2.SDSS.zp"	8449.9	2129.91	notfound	notfound
"LCO.Magellan2Clay(6,5m).LDSS-3.Johnson.B"	4855	3897.71	notfound	notfound
"LCO.Magellan2Clay(6,5m).LDSS-3.Johnson.V"	5339.32	3562	notfound	notfound
"LCO.Magellan2Clay(6,5m).LDSS-3.Johnson.R"	7606.15	2935.65	notfound	notfound
"LCO.Magellan2Clay(6,5m).LDSS-3.Johnson.I"	8232.9	2347.46	notfound	notfound
"LCO.Magellan2Clay(6,5m).LDSS-3.SDSS.gp"	5118.5	3812.91	notfound	notfound
"LCO.Magellan2Clay(6,5m).LDSS-3.SDSS.rp"	6378.6	3149.8	notfound	notfound
"LCO.Magellan2Clay(6,5m).LDSS-3.SDSS.ip"	7798.3	2579.1	notfound	notfound
"LCO.Magellan2Clay(6,5m).LDSS-3.SDSS.zp"	8449.9	2129.91	notfound	notfound
"LCO.Magellan2Clay(6,5m).MagAOXSci1.None.ip"	7568.41	2549.07	notfound	notfound
"LCO.Magellan2Clay(6,5m).MagAOXSci1.None.rp"	6097.22	3209.42	notfound	notfound
