Time(s)	Mag	MagErr	Filter	System	Observatory/Telescope/Instrument	GalExtCorr	Source	Flag
35.5	16.1	0.0	unfiltered	USNO	HESS/ROTSE-IIIc(0.45m)/CCD	n	10871	no
229.5	18.4	0.0	unfiltered	USNO	HESS/ROTSE-IIIc(0.45m)/CCD	n	10871	no
421.5	20.18	0.0	U	AB	NGSO/Swift/UVOT	n	10878	no
3691.5	20.14	0.0	U	AB	NGSO/Swift/UVOT	n	10878	no
3720.0	20.27	0.28	B	AB	NGSO/Swift/UVOT	n	10878	no
3792.5	19.64	0.25	UVW1	AB	NGSO/Swift/UVOT	n	10878	no
6173.0	19.66	0.0	UVM2	AB	NGSO/Swift/UVOT	n	10878	no
21750.0	22.23	0.0	I	USNO	MtJohn/MOA-II(1.8m)/MOA-cam3	n	10880	no
3684.6	16.56	0.1	J	2MASS	SAAO/IRSF(1.4m)/SIRIUS	n	10881	yes/X/Y
3684.6	15.22	0.1	H	2MASS	SAAO/IRSF(1.4m)/SIRIUS	n	10881	yes/X/Y
3684.6	14.18	0.1	Ks	2MASS	SAAO/IRSF(1.4m)/SIRIUS	n	10881	yes/X/Y
4056.6	16.24	0.1	J	2MASS	SAAO/IRSF(1.4m)/SIRIUS	n	10881	yes/X/Y
4056.6	14.63	0.1	H	2MASS	SAAO/IRSF(1.4m)/SIRIUS	n	10881	yes/X/Y
4056.6	13.84	0.1	Ks	2MASS	SAAO/IRSF(1.4m)/SIRIUS	n	10881	yes/X/Y
4430.4	15.27	0.1	J	2MASS	SAAO/IRSF(1.4m)/SIRIUS	n	10881	yes/X/Y
4430.4	13.78	0.1	H	2MASS	SAAO/IRSF(1.4m)/SIRIUS	n	10881	yes/X/Y
4430.4	12.63	0.1	Ks	2MASS	SAAO/IRSF(1.4m)/SIRIUS	n	10881	yes/X/Y
4808.4	15.07	0.1	J	2MASS	SAAO/IRSF(1.4m)/SIRIUS	n	10881	yes/X/Y
4808.4	13.57	0.1	H	2MASS	SAAO/IRSF(1.4m)/SIRIUS	n	10881	yes/X/Y
4808.4	12.63	0.1	Ks	2MASS	SAAO/IRSF(1.4m)/SIRIUS	n	10881	yes/X/Y
5181.6	14.93	0.1	J	2MASS	SAAO/IRSF(1.4m)/SIRIUS	n	10881	yes/X/Y
5181.6	13.45	0.1	H	2MASS	SAAO/IRSF(1.4m)/SIRIUS	n	10881	yes/X/Y
5181.6	12.23	0.1	Ks	2MASS	SAAO/IRSF(1.4m)/SIRIUS	n	10881	yes/X/Y
5553.6	14.9	0.1	J	2MASS	SAAO/IRSF(1.4m)/SIRIUS	n	10881	yes/X/Y
5553.6	13.45	0.1	H	2MASS	SAAO/IRSF(1.4m)/SIRIUS	n	10881	yes/X/Y
5553.6	12.32	0.1	Ks	2MASS	SAAO/IRSF(1.4m)/SIRIUS	n	10881	yes/X/Y
5928.6	14.93	0.1	J	2MASS	SAAO/IRSF(1.4m)/SIRIUS	n	10881	yes/X/Y
5928.6	13.47	0.1	H	2MASS	SAAO/IRSF(1.4m)/SIRIUS	n	10881	yes/X/Y
5928.6	12.36	0.1	Ks	2MASS	SAAO/IRSF(1.4m)/SIRIUS	n	10881	yes/X/Y
6300.0	15.04	0.1	J	2MASS	SAAO/IRSF(1.4m)/SIRIUS	n	10881	yes/X/Y
6300.0	13.55	0.1	H	2MASS	SAAO/IRSF(1.4m)/SIRIUS	n	10881	yes/X/Y
6300.0	12.36	0.1	Ks	2MASS	SAAO/IRSF(1.4m)/SIRIUS	n	10881	yes/X/Y
155.9600067138672	20.071291	0.20656137	white	AB	NGSO/Swift/UVOT	n	Roming2017	no
592.9199829101562	19.24042	0.3038183	white	AB	NGSO/Swift/UVOT	n	Roming2017	no
923.2999877929688	20.192228	0.49915993	V	AB	NGSO/Swift/UVOT	n	Roming2017	no
