Time(s)	Mag	MagErr	Filter	System	Observatory/Telescope/Instrument	GalExtCorr	Source	Flag
52.0	11.21	0.0	R	Johnson	IAC/MASTER-IAC/Apogee-ALTA-U16M	n	23690	no
50.0	11.1	0.0	unfiltered	Vega	SAAO/MASTER-SAAO(2X0.4m)/VWF-2	n	23693	no
1890.0	16.9	0.04	r	AB	ORM/NOT(2.56m)/ALFOSC	n	23695	no
1890.0	17.72	0.11	g	AB	ORM/NOT(2.56m)/ALFOSC	n	23695	no
1890.0	16.4	0.02	i	AB	ORM/NOT(2.56m)/ALFOSC	n	23695	no
1890.0	16.25	0.12	z	AB	ORM/NOT(2.56m)/ALFOSC	n	23695	no
1944.0	16.86	0.07	Rc	AB	OASDG/0.5m/CCD	n	23699	no
2340.0	17.06	0.07	Rc	AB	OASDG/0.5m/CCD	n	23699	no
2664.0	17.21	0.08	Rc	AB	OASDG/0.5m/CCD	n	23699	no
3096.0	17.27	0.08	Rc	AB	OASDG/0.5m/CCD	n	23699	no
3492.0	17.47	0.09	Rc	AB	OASDG/0.5m/CCD	n	23699	no
3852.0	17.69	0.1	Rc	AB	OASDG/0.5m/CCD	n	23699	no
14094.0	18.17	0.03	r	AB	LSO/MPG-ESO(2.2m)/GROND	n	23702	no
14094.0	19.0	0.09	g	AB	LSO/MPG-ESO(2.2m)/GROND	n	23702	no
14094.0	17.66	0.05	i	AB	LSO/MPG-ESO(2.2m)/GROND	n	23702	no
14094.0	17.15	0.04	z	AB	LSO/MPG-ESO(2.2m)/GROND	n	23702	no
14094.0	16.76	0.05	J	AB	LSO/MPG-ESO(2.2m)/GROND	n	23702	no
14094.0	16.3	0.05	H	AB	LSO/MPG-ESO(2.2m)/GROND	n	23702	no
14094.0	16.08	0.07	K	AB	LSO/MPG-ESO(2.2m)/GROND	n	23702	no
17100.0	18.2	0.4	r'	AB	PAO/VLT(8.2m)/X-SHOOTER	n	23710	no
21960.0	18.9	0.1	R	Vega	McDonald/0.25m/CCD+McDonald/0.8m/LF1+SNU/1m/None	n	23717	no
149.0	14.89	0.02	white	AB	NGSO/Swift/UVOT	n	23725	no
576.0	16.9	0.07	white	AB	NGSO/Swift/UVOT	n	23725	no
5950.5	19.19	0.09	white	AB	NGSO/Swift/UVOT	n	23725	no
22403.5	20.22	0.09	white	AB	NGSO/Swift/UVOT	n	23725	no
621.5	16.28	0.19	V	AB	NGSO/Swift/UVOT	n	23725	no
16715.5	18.97	0.13	V	AB	NGSO/Swift/UVOT	n	23725	no
27228.5	19.41	0.24	V	AB	NGSO/Swift/UVOT	n	23725	no
48185.0	19.92	0.2	V	AB	NGSO/Swift/UVOT	n	23725	no
551.5	17.38	0.14	B	AB	NGSO/Swift/UVOT	n	23725	no
5745.5	19.38	0.16	B	AB	NGSO/Swift/UVOT	n	23725	no
33779.5	20.83	0.26	B	AB	NGSO/Swift/UVOT	n	23725	no
33888.0	20.28	0.0	U	AB	NGSO/Swift/UVOT	n	23725	no
27783.0	21.05	0.31	UVW1	AB	NGSO/Swift/UVOT	n	23725	no
27227.0	21.0	0.3	UVM2	AB	NGSO/Swift/UVOT	n	23725	no
31220.0	21.33	0.0	UVW2	AB	NGSO/Swift/UVOT	n	23725	no
120402.0	19.8	0.0	R	PanSTARRS	Sayan/AZT-33IK(1.6m)/E2V-CCD30-11	n	23727	no
15480.0	18.6	0.2	r	AB	LSO/REM(0.6m)/REMIR	n	23729	no
15480.0	16.7	0.1	H	AB	LSO/REM(0.6m)/REMIR	n	23729	no
49437.0	20.2	0.3	g	SDSS	SSO/LSGT(0.43m)/SNUCAM-II	n	23732	no
49437.0	19.7	0.3	r	SDSS	SSO/LSGT(0.43m)/SNUCAM-II	n	23732	no
49437.0	18.6	0.3	i	SDSS	SSO/LSGT(0.43m)/SNUCAM-II	n	23732	no
49437.0	18.4	0.4	z	SDSS	SSO/LSGT(0.43m)/SNUCAM-II	n	23732	no
58896.0	19.92	0.24	g	PanSTARRS	IAO/GROWTH-India(0.7m)/AndoriKon-XL	n	23733	no
