Time(s)	Mag	MagErr	Filter	System	Observatory/Telescope/Instrument	GalExtCorr	Source	Flag
152.143739998341	16.12	0.15	white	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
579.516368985176	17.42	0.17	white	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
4827.6801199913	19.44	0.16	white	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
6263.36641001701	20.05	0.19	white	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
629.870698988438	16.17	0.15	V	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
5238.38609999418	18.81	0.18	V	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
10674.8131800294	19.58	0.25	V	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
10978.306730032	19.58	0.25	V	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
11281.816839993	19.81	0.31	V	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
27988.6187800169	20.31	0.45	V	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
28292.1895700097	20.33	0.45	V	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
62691.2597900033	19.9	0.31	V	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
28595.7106900215	20.62	0.0	V	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
45436.4412800074	20.68	0.0	V	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
45740.3099400401	20.67	0.0	V	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
46043.9248300195	20.57	0.0	V	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
62994.8140200377	20.69	0.0	V	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
63298.3296400309	20.61	0.0	V	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
554.532299041748	16.6	0.12	B	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
4622.89257001877	18.81	0.1	B	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
6058.4299300313	19.41	0.19	B	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
17358.5501400232	20.73	0.43	B	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
34965.6052300334	20.85	0.55	B	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
52311.803550005	20.64	0.56	B	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
17662.0381399989	20.87	0.0	B	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
17888.6377500296	20.14	0.0	B	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
34661.9186199903	21.19	0.0	B	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
35197.7102699876	20.29	0.0	B	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
52008.365170002	21.09	0.0	B	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
52528.2363200188	20.0	0.0	B	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
69296.4313800335	21.22	0.0	B	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
69600.7303200364	20.83	0.0	B	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
69829.7075300217	20.3	0.0	B	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
414.175580024719	16.86	0.05	U	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
4417.67473000288	19.32	0.1	U	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
5853.15694004297	19.85	0.15	U	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
16749.5716199875	21.38	0.31	U	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
17053.0927500129	21.72	0.43	U	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
34356.4336400032	21.52	0.37	U	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
51399.2045900226	21.95	0.47	U	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
68687.496990025	22.2	0.58	U	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
16446.0946400166	22.2	0.0	U	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
23143.0489500165	21.92	0.0	U	AB	NGSO/Swift/UVOT	n	BurstAnalyser	no
