Time(s)	Mag	MagErr	Filter	System	Observatory/Telescope/Instrument	GalExtCorr	Source	Flag
2709.9	19.4	0.3	V	AB	NGSO/Swift/UVOT	n	foley06	no
14144.5	20.3	0.25	V	AB	NGSO/Swift/UVOT	n	foley06	no
41350.0	20.82	0.25	V	AB	NGSO/Swift/UVOT	n	foley06	no
71250.0	21.03	0.25	V	AB	NGSO/Swift/UVOT	n	foley06	no
2705.5	19.4	0.0	V	AB	NGSO/Swift/UVOT	n	foley06	no
14095.5	20.3	0.0	V	AB	NGSO/Swift/UVOT	n	foley06	no
29295.5	18.5	0.0	V	2MASS	LSO/REM(0.6m)/TORTORA	n	foley06	no
34995.5	21.4	0.0	V	2MASS	CTIO/PROMPT/ApogeeAltaU47	n	foley06	no
40095.5	20.82	0.0	V	AB	NGSO/Swift/UVOT	n	foley06	no
44695.5	22.07	0.17	V	2MASS	Steward/Kuiper(1.54m)/CCD-2MASS	n	foley06	no
47695.5	21.7	0.0	V	2MASS	CTIO/PROMPT/ApogeeAltaU47	n	foley06	no
55095.5	22.62	0.19	V	2MASS	Steward/Kuiper(1.54m)/CCD-2MASS	n	foley06	no
65095.5	21.03	0.0	V	AB	NGSO/Swift/UVOT	n	foley06	no
138995.5	23.48	0.61	V	2MASS	Steward/Kuiper(1.54m)/CCD-2MASS	n	foley06	no
229995.5	24.07	0.18	V	2MASS	KO/Keck-1/LRIS	n	foley06	no
1.5	11.0	0.0	Rc	2MASS	BAO/KISO(1.05m)/WIDGET	n	foley06	no
101.5	10.9	0.0	Rc	2MASS	BAO/KISO(1.05m)/WIDGET	n	foley06	no
82.8	16.2	0.0	Rc	2MASS	RIKEN/ART(20cm)/CCD	n	foley06	no
354.5	16.2	0.0	Rc	2MASS	RIKEN/ART(20cm)/CCD	n	foley06	no
626.5	17.0	0.0	Rc	2MASS	RIKEN/ART(20cm)/CCD	n	foley06	no
1145.5	19.1	0.0	Rc	2MASS	BAO/KISO(1.05m)/2kCCD	n	foley06	no
5165.5	17.8	0.0	Rc	2MASS	OAO/MITSuME(50cm)/Alta-U6	n	foley06	no
8635.5	20.4	0.2	Rc	2MASS	ARIES/Sampurnanand(104cm)/AIMPOL	n	foley06	no
11195.5	20.0	0.0	Rc	2MASS	MDM/Tautenburg(1.34m)/AndoriKon-L-936	n	foley06	no
13395.5	21.01	0.07	Rc	2MASS	TuNO/RTT150/TFOSC	n	foley06	no
