Time(s)	Mag	MagErr	Filter	System	Observatory/Telescope/Instrument	GalExtCorr	Source	Flag
854496.0	20.7	0.2	J	2MASS	PO/Hale(200inches)/WIRC	n	13279	no
307584.0	22.1	0.0	i	SDSS	ORM/NOT(2.56m)/ALFOSC	n	13275	no
743040.0	21.3	0.15	i	SDSS	ORM/NOT(2.56m)/ALFOSC	n	13275	no
179.0	20.39	0.27	white	AB	NGSO/Swift/UVOT	n	13248	no
932.0	20.51	0.29	white	AB	NGSO/Swift/UVOT	n	13248	no
6069.5	20.25	0.15	white	AB	NGSO/Swift/UVOT	n	13248	no
43986.2	20.5	0.3	R	USNO	CrAO/AZT-11/PL230	n	13273	no
128658.0	20.74	0.03	R	USNO	CrAO/AZT-11/PL230	n	13273	yes/X/Z
15120.0	21.1	0.2	CR	Vega	Zadko/1m/Andor	n	13250	no
1680307.2	19.07	0.0	R	USNO	Konkoly/Zeiss(50cm)/CPP	n	13288	no
64800.0	21.68	0.05	g	AB	LSO/MPG-ESO(2.2m)/GROND	n	13256	no
64800.0	21.59	0.05	r	AB	LSO/MPG-ESO(2.2m)/GROND	n	13256	no
64800.0	21.3	0.1	i	AB	LSO/MPG-ESO(2.2m)/GROND	n	13256	no
664.2	20.27	0.0	UVW2	AB	NGSO/Swift/UVOT	y	arXiv1401.3774	no
1110.2	20.3	0.455	UVW2	AB	NGSO/Swift/UVOT	y	arXiv1401.3774	no
6244.8	20.5	0.175	UVW2	AB	NGSO/Swift/UVOT	y	arXiv1401.3774	no
2350484.0	24.05	0.0	UVW2	AB	NGSO/Swift/UVOT	y	arXiv1401.3774	no
935.9	20.84	0.595	UVM2	AB	NGSO/Swift/UVOT	y	arXiv1401.3774	no
5967.3	20.89	0.4	UVM2	AB	NGSO/Swift/UVOT	y	arXiv1401.3774	no
11694.8	21.03	0.21	UVM2	AB	NGSO/Swift/UVOT	y	arXiv1401.3774	no
2347530.0	23.73	0.0	UVM2	AB	NGSO/Swift/UVOT	y	arXiv1401.3774	no
912.7	20.56	0.0	UVW1	AB	NGSO/Swift/UVOT	y	arXiv1401.3774	no
5454.6	21.43	0.405	UVW1	AB	NGSO/Swift/UVOT	y	arXiv1401.3774	no
12479.4	21.56	0.325	UVW1	AB	NGSO/Swift/UVOT	y	arXiv1401.3774	no
25671.6	21.47	0.195	UVW1	AB	NGSO/Swift/UVOT	y	arXiv1401.3774	no
2402743.0	23.43	0.0	UVW1	AB	NGSO/Swift/UVOT	y	arXiv1401.3774	no
387.2	21.06	0.43	U	AB	NGSO/Swift/UVOT	y	arXiv1401.3774	no
898.9	20.08	0.0	U	AB	NGSO/Swift/UVOT	y	arXiv1401.3774	no
5659.9	21.08	0.37	U	AB	NGSO/Swift/UVOT	y	arXiv1401.3774	no
19853.4	21.47	0.24	U	AB	NGSO/Swift/UVOT	y	arXiv1401.3774	no
29800.8	21.41	0.34	U	AB	NGSO/Swift/UVOT	y	arXiv1401.3774	no
242229.9	22.94	0.0	U	AB	NGSO/Swift/UVOT	y	arXiv1401.3774	no
1096947.0	23.0	0.155	U	AB	NGSO/Swift/UVOT	y	arXiv1401.3774	no
3258148.0	23.32	0.0	U	AB	NGSO/Swift/UVOT	y	arXiv1401.3774	no
3328.3	20.42	0.0	B	AB	NGSO/Swift/UVOT	y	arXiv1401.3774	no
20641.6	20.95	0.335	B	AB	NGSO/Swift/UVOT	y	arXiv1401.3774	no
116790.9	21.07	0.0	B	AB	NGSO/Swift/UVOT	y	arXiv1401.3774	no
1914851.0	21.54	0.315	B	AB	NGSO/Swift/UVOT	y	arXiv1401.3774	no
4665241.0	19.82	0.0	B	AB	NGSO/Swift/UVOT	y	arXiv1401.3774	no
90.4	17.52	0.0	V	AB	NGSO/Swift/UVOT	y	arXiv1401.3774	no
912.0	18.83	0.0	V	AB	NGSO/Swift/UVOT	y	arXiv1401.3774	no
20785.9	20.28	0.0	V	AB	NGSO/Swift/UVOT	y	arXiv1401.3774	no
156431.0	20.27	0.0	V	AB	NGSO/Swift/UVOT	y	arXiv1401.3774	no
4665526.0	19.17	0.0	V	AB	NGSO/Swift/UVOT	y	arXiv1401.3774	no
59563.0	22.21	0.1	g'	AB	LSO/MPG-ESO(2.2m)/GROND	y	arXiv1401.3774	no
61702.0	22.12	0.05	g'	AB	LSO/MPG-ESO(2.2m)/GROND	y	arXiv1401.3774	no
