GRB,RA,DEC,Class,Redshift,Beta,Beta_Err
180703A,00h26m10s,-67° 05',L,0.6678,,
180720B,00h02m07s,-02° 56',L,0.654,0.8,0.04
180728A,16h54m17s,-54° 02',L,0.117,0.67,0.05
180914B,22h09m48s,+24° 53',L,1.096,0.94,0.11
181010A,03h30m14s,-23° 02',L,1.39,0.9,0.09
181020A,00h55m52s,-47° 23',L,2.938,,
181110A,20h09m22s,-36° 54',L,1.505,0.99,0.03
181123B,12h17m23s,+14° 35',SEE,1.754,0.55,0.17
190106A,01h59m33s,+23° 51',L,1.859,,
190114A,04h22m11s,+02° 10',L,3.3765,,
190114C,03h38m02s,-26° 56',L,0.425,0.83,0.04
190627A,16h19m19s,-05° 18',L,1.942,1,0.14
190719C,16h00m50s,+12° 59',L,2.469,,
190829A,02h58m10s,-08° 58',SN-B,0.0785,0.47,0.09
190919B,20h47m33s,-44° 43',L,3.225,1.05,0.07
191004B,03h16m42s,-39° 37',L,3.503,0.49,0.03
191011A,02h58m54s,-27° 51',L,1.722,0.9,0.16
191019A,22h40m09s,-17° 20',L,0.248,0.78,0.08
191221B,10h19m20s,-38° 08',L,1.148,0.48,0.07
200205B,07h11m13s,-56° 29',L,1.465,,
200522A,00h22m40s,-00° 17',S,0.554,1.1,0.3
200524A,14h11m00s,+60° 58',L,1.256,,
200613A,10h12m07s,+45° 51',L,1.2255,0.9,0.15
200826A,00h27m16s,+34° 02',S,0.7481,0.67,0.02
200829A,16h44m51s,+72° 20',L,1.25,0.9,0.07
201014A,01h23m23s,+27° 42',L,4.56,0.9,0.24
201015A,23h37m22s,+53° 24',L,0.426,1.13,0.3
201020A,17h24m59s,+31° 25',L,2.903,1.1,0.18
201020B,04h59m29s,+76° 59',L,0.804,,
201021C,00h50m12s,-55° 50',L,1.07,0.6,0.18
201024A,08h23m47s,+03° 23',L,0.999,,
201103B,02h48m44s, +12° 08',L,1.105,,
201104B,00h20m52s,+07° 49',L,1.954,,
201216C,01h05m26s,+16° 32',L,1.1,0.5,0.2
201221A,14h17m55s,-45° 25',L,5.7,,
201221D,11h24m12s,+42° 09',S,1.046,,
210104A,08h15m15s,-05° 52',L,2.514,0.82,0.04
210116A,06h54m49s, +64° 40',L,0.46,1.17,0.39
210204A,07h48m19s,+11° 25',L,0.876,0.75,0
210210A,17h31m15s,+14° 39',L,0.715,0.9,0.11
210222B,10h18m29s,-14° 54',L,2.198,,
210312B,10h23m22s,+76° 53',L,1.069,0.6,0.04
210321A,05h51m30s,+70° 07',L,1.487,,
210411C,19h46m14s,-39° 22',L,2.826,,
210420B,16h57m17s,+42° 34',L,1.4,,
210504A,14h49m11s,-30° 32',L,2.077,,
210517A,23h52m42s,-39° 06',L,2.486,,
210610A,13h37m08s,+14° 29',L,3.54,,
210610B,16h15m45s,+14° 23',L,1.13,,
210619B,21h18m51s,+33° 52',L,1.937,0.37,0.01
210702A,11h14m17s,-36° 44',L,1.16,0.96,0.06
210722A,01h48m06s,-06° 21',L,1.145,,
210731A,20h01m15s,-28° 02',L,1.2525,,
210822A,20h17m54s,+05° 16',L,1.736,,
210905A,20h36m15s, -44° 26',L,6.318,0.6,0.04
211023A,04h49m12s,+85° 18',L,0.39,0.8,0.1
211024B,10h18m45s, +24° 35',L,1.1137,1.13,0.04
211207A,09h58m30s,-24° 21',L,2.272,,
220101A,00h05m31s,+31° 45',L,4.618,0.7,0.05
220107A,11h19m03s,+34° 08',L,1.246,,
220117A,06h06m19s, -28° 25',L,4.961,,
220219B,16h03m39s,+31° 14',L,0.293,,
220521A,18h20m47s,+10° 21',L,5.6,,
220527A,21h34m17s,21° 34',L,0.857,2.55,0.05
220627A,13h24m48s,-32° 30',L,3.084,,
221009A,19h13m03s,19° 48',L,0.151,0.75,0.016
221110A,01h56m29s,-27° 19',L,4.06,1.88,0.15
221226B,01h31m40s,-41° 33',L,2.694,,
230116D,06h34m28s,+49° 52',L,3.81,,
230204B,13h10m15s,-22° 02',L,2.142,,
230325A,19h47m17s,-46° 06',L,1.664,,
230414B,12h04m17s,-53° 08',L,3.568,,
