time_sec mag_rescaled_to_I mag_err band_given system telescope extcorr source
4.943663847845578 17.751093925429004 0.0565685424949238 R AB CTIO/PROMPT-4/ApogeeAltaU47 y arXiv1004.2900
4.943962786976642 17.751093925429004 0.04 I AB CTIO/PROMPT-5/ApogeeAltaU47 y arXiv1004.2900
4.949055715254729 17.811093925429006 0.05 R AB CTIO/PROMPT-4/ApogeeAltaU47 y arXiv1004.2900
4.949140093432944 17.811093925429006 0.04 I AB CTIO/PROMPT-5/ApogeeAltaU47 y arXiv1004.2900
4.951538005803519 17.831093925429006 0.0806225774829855 V AB CTIO/PROMPT-2/ApogeeAltaU47 y arXiv1004.2900
4.951999240633349 17.831093925429006 0.0806225774829855 B AB CTIO/PROMPT-3/ApogeeAltaU47 y arXiv1004.2900
4.953881026032423 17.831093925429006 0.04 I AB CTIO/PROMPT-5/ApogeeAltaU47 y arXiv1004.2900
4.954047901916091 17.831093925429006 0.0565685424949238 R AB CTIO/PROMPT-4/ApogeeAltaU47 y arXiv1004.2900
4.95894211366438 17.971093925429006 0.04 I AB CTIO/PROMPT-5/ApogeeAltaU47 y arXiv1004.2900
4.95894211366438 17.971093925429006 0.0565685424949238 R AB CTIO/PROMPT-4/ApogeeAltaU47 y arXiv1004.2900
4.961409702586378 17.971093925429006 0.1077032961426901 V AB CTIO/PROMPT-2/ApogeeAltaU47 y arXiv1004.2900
4.961491714574518 17.971093925429006 0.07211102550927978 B AB CTIO/PROMPT-3/ApogeeAltaU47 y arXiv1004.2900
4.963985669500171 17.961093925429005 0.06403124237432849 R AB CTIO/PROMPT-4/ApogeeAltaU47 y arXiv1004.2900
4.964067196529114 17.961093925429005 0.05 I AB CTIO/PROMPT-5/ApogeeAltaU47 y arXiv1004.2900
4.9690116253360035 17.981093925429004 0.0565685424949238 R AB CTIO/PROMPT-4/ApogeeAltaU47 y arXiv1004.2900
4.969132503329613 17.981093925429004 0.04 I AB CTIO/PROMPT-5/ApogeeAltaU47 y arXiv1004.2900
4.971502958766578 17.981093925429004 0.09848857801796104 V AB CTIO/PROMPT-2/ApogeeAltaU47 y arXiv1004.2900
4.971502958766578 17.981093925429004 0.06403124237432849 B AB CTIO/PROMPT-3/ApogeeAltaU47 y arXiv1004.2900
4.973940240419517 17.931093925429003 0.05 R AB CTIO/PROMPT-4/ApogeeAltaU47 y arXiv1004.2900
4.974019920170571 17.931093925429003 0.04 I AB CTIO/PROMPT-5/ApogeeAltaU47 y arXiv1004.2900
4.979010499912629 17.941093925429005 0.04 I AB CTIO/PROMPT-5/ApogeeAltaU47 y arXiv1004.2900
4.979049879201037 17.941093925429005 0.05 R AB CTIO/PROMPT-4/ApogeeAltaU47 y arXiv1004.2900
4.981484447771662 17.941093925429005 0.0565685424949238 B AB CTIO/PROMPT-3/ApogeeAltaU47 y arXiv1004.2900
4.981562755467855 18.001093925429004 0.0806225774829855 V AB CTIO/PROMPT-2/ApogeeAltaU47 y arXiv1004.2900
4.984100099553244 18.001093925429004 0.04 I AB CTIO/PROMPT-5/ApogeeAltaU47 y arXiv1004.2900
4.984100099553244 18.001093925429004 0.05 R AB CTIO/PROMPT-4/ApogeeAltaU47 y arXiv1004.2900
4.988938330620955 17.981093925429004 0.04 I AB CTIO/PROMPT-5/ApogeeAltaU47 y arXiv1004.2900
4.989092267523551 17.981093925429004 0.05 R AB CTIO/PROMPT-4/ApogeeAltaU47 y arXiv1004.2900
4.991433069602708 17.931093925429003 0.06403124237432849 B AB CTIO/PROMPT-3/ApogeeAltaU47 y arXiv1004.2900
4.991586124928311 17.931093925429003 0.09848857801796104 V AB CTIO/PROMPT-2/ApogeeAltaU47 y arXiv1004.2900
4.993913559744955 17.931093925429003 0.04 I AB CTIO/PROMPT-5/ApogeeAltaU47 y arXiv1004.2900
4.993989658305147 17.931093925429003 0.05 R AB CTIO/PROMPT-4/ApogeeAltaU47 y arXiv1004.2900
4.998907679732088 18.021093925429003 0.05830951894845301 R AB CTIO/PROMPT-4/ApogeeAltaU47 y arXiv1004.2900
4.999095726707057 18.021093925429003 0.05 I AB CTIO/PROMPT-5/ApogeeAltaU47 y arXiv1004.2900
5.001607731836046 18.021093925429003 0.07810249675906655 B AB CTIO/PROMPT-3/ApogeeAltaU47 y arXiv1004.2900
5.001607731836046 18.021093925429003 0.08602325267042628 V AB CTIO/PROMPT-2/ApogeeAltaU47 y arXiv1004.2900
5.004105290780405 18.021093925429003 0.05830951894845301 R AB CTIO/PROMPT-4/ApogeeAltaU47 y arXiv1004.2900
5.004142459207139 18.021093925429003 0.05 I AB CTIO/PROMPT-5/ApogeeAltaU47 y arXiv1004.2900
5.009057728122541 18.201093925429003 0.07211102550927978 R AB CTIO/PROMPT-4/ApogeeAltaU47 y arXiv1004.2900
5.00935161714198 18.201093925429003 0.06 I AB CTIO/PROMPT-5/ApogeeAltaU47 y arXiv1004.2900
5.010232092825016 18.201093925429003 0.1 B AB CTIO/PROMPT-3/ApogeeAltaU47 y arXiv1004.2900
5.0105618115415265 18.201093925429003 0.11661903789690602 V AB CTIO/PROMPT-2/ApogeeAltaU47 y arXiv1004.2900
5.012753562253919 18.24109392542901 0.130384048104053 R AB CTIO/PROMPT-4/ApogeeAltaU47 y arXiv1004.2900
5.012899286433426 18.24109392542901 0.11 I AB CTIO/PROMPT-5/ApogeeAltaU47 y arXiv1004.2900
5.019047795351607 18.141093925429004 0.12806248474865697 R AB CTIO/PROMPT-4/ApogeeAltaU47 y arXiv1004.2900
5.019047795351607 18.141093925429004 0.21470910553583888 B AB CTIO/PROMPT-3/ApogeeAltaU47 y arXiv1004.2900
5.019047795351607 18.141093925429004 0.1 I AB CTIO/PROMPT-5/ApogeeAltaU47 y arXiv1004.2900
5.019119615176792 18.141093925429004 0.25079872407968906 V AB CTIO/PROMPT-2/ApogeeAltaU47 y arXiv1004.2900
5.403396184917334 19.441093925429005 0.1 I AB CTIO/PROMPT-5/ApogeeAltaU47 y arXiv1004.2900
5.404062655683819 19.441093925429005 0.1562049935181331 R AB CTIO/PROMPT-4/ApogeeAltaU47 y arXiv1004.2900
5.408421245418454 19.351093925429005 0.11 I AB CTIO/PROMPT-5/ApogeeAltaU47 y arXiv1004.2900
5.408450547073622 19.351093925429005 0.16278820596099705 R AB CTIO/PROMPT-4/ApogeeAltaU47 y arXiv1004.2900
5.412063873107235 19.49109392542901 0.07 I AB CTIO/SMARTS(1.3m)/ANDICAM y 10113
5.4120687160630245 19.49109392542901 0.07 I AB CTIO/SMARTS(1.3m)/ANDICAM y arXiv1004.2900
5.4120687160630245 18.330715232070723 0.09 J AB CTIO/SMARTS(1.3m)/ANDICAM y arXiv1004.2900
5.414228127776852 19.431093925429003 0.1 I AB CTIO/PROMPT-5/ApogeeAltaU47 y arXiv1004.2900
5.414444924534221 19.431093925429003 0.13453624047073712 R AB CTIO/PROMPT-4/ApogeeAltaU47 y arXiv1004.2900
5.521285823345043 19.74109392542901 0.11 I AB CTIO/PROMPT-5/ApogeeAltaU47 y arXiv1004.2900
5.521364904085933 19.74109392542901 0.14866068747318506 R AB CTIO/PROMPT-4/ApogeeAltaU47 y arXiv1004.2900
5.530851035588274 19.801093925429004 0.12 I AB CTIO/PROMPT-5/ApogeeAltaU47 y arXiv1004.2900
5.530928393792311 19.801093925429004 0.18439088914585774 R AB CTIO/PROMPT-4/ApogeeAltaU47 y arXiv1004.2900
5.5398313651190865 19.951093925429003 0.17691806012954134 B AB CTIO/PROMPT-3/ApogeeAltaU47 y arXiv1004.2900
5.5398854915797555 19.951093925429003 0.20808652046684814 V AB CTIO/PROMPT-2/ApogeeAltaU47 y arXiv1004.2900
5.5412688371237255 19.951093925429003 0.12 I AB CTIO/PROMPT-5/ApogeeAltaU47 y arXiv1004.2900
5.541311995751562 19.951093925429003 0.15 R AB CTIO/PROMPT-4/ApogeeAltaU47 y arXiv1004.2900
5.549297599198629 20.045587055712197 0.58 R AB CTIO/PROMPT(16inch)/ApogeeAltaU47 y 9982
5.553807710053564 20.031093925429005 0.11 I AB CTIO/PROMPT-5/ApogeeAltaU47 y arXiv1004.2900
5.553985886451086 20.031093925429005 0.14866068747318506 R AB CTIO/PROMPT-4/ApogeeAltaU47 y arXiv1004.2900
5.625307181764431 20.021093925429003 0.14142135623730953 R AB CTIO/PROMPT-4/ApogeeAltaU47 y arXiv1004.2900
5.625413870550237 20.021093925429003 0.1 I AB CTIO/PROMPT-5/ApogeeAltaU47 y arXiv1004.2900
5.632502966629074 19.14071523207072 0.13 J AB CTIO/SMARTS(1.3m)/ANDICAM y arXiv1004.2900
5.632502966629074 20.291093925429003 0.1 I AB CTIO/SMARTS(1.3m)/ANDICAM y arXiv1004.2900
5.632505881856055 20.291093925429003 0.1 I AB CTIO/SMARTS(1.3m)/ANDICAM y 10113
5.634579473521969 20.291093925429003 0.1972308292331602 B AB CTIO/PROMPT-3/ApogeeAltaU47 y arXiv1004.2900
5.6441094645597145 20.021093925429003 0.11 I AB CTIO/PROMPT-5/ApogeeAltaU47 y arXiv1004.2900
5.644288244377777 20.021093925429003 0.17029386365926402 R AB CTIO/PROMPT-4/ApogeeAltaU47 y arXiv1004.2900
5.706466791707181 20.675587055712192 0.11 R AB CTIO/PROMPT-4/ApogeeAltaU47 y arXiv1004.2900
5.7205030293100885 20.461093925429005 0.18601075237738274 R AB CTIO/PROMPT-4/ApogeeAltaU47 y arXiv1004.2900
5.72098838624141 20.461093925429005 0.15 I AB CTIO/PROMPT-5/ApogeeAltaU47 y arXiv1004.2900
5.72184357748966 20.355587055712192 0.58 R AB CTIO/PROMPT(16inch)/ApogeeAltaU47 y 9984
5.9782852829812105 21.935587055712197 0.22 R AB CTIO/PROMPT-4/ApogeeAltaU47 y arXiv1004.2900
5.981836721265551 21.405587055712196 0.6 R AB CTIO/PROMPT(16inch)/ApogeeAltaU47 y 10003
6.296349224818782 23.6257782573944 0.12 i' AB CP/Gemini-South(8.1m)/GMOS y arXiv1004.2900
6.296349224818782 23.90942307926465 0.11 r' AB CP/Gemini-South(8.1m)/GMOS y arXiv1004.2900
6.296349224818782 24.47178807071423 0.11 g' AB CP/Gemini-South(8.1m)/GMOS y arXiv1004.2900
