time_sec	mag	mag_err	band	system	telescope	extcorr	source	flag
100.3	17.114879442079665	0.0	R	AB	KPNO/Super-LOTIS(0.6m)/E2V-TE-CCD	y	6995	no
119.5	16.75318553098453	0.0	clear	AB	LANL/RAPTOR-S(30cm)/AP-6E-CCD	y	Perley2010	no
134.5	19.274879442079666	0.0	R	AB	KPNO/Super-LOTIS(0.6m)/E2V-TE-CCD	y	Perley2010	no
174.6	15.892752755222686	0.768	H	AB	FLWO/PAIRITEL(1.3m)/2MASS-3-Band-NIC	y	Perley2010	no
174.6	14.070834753213488	0.413	Ks	AB	FLWO/PAIRITEL(1.3m)/2MASS-3-Band-NIC	y	Perley2010	no
174.6	16.097719637935384	0.452	J	AB	FLWO/PAIRITEL(1.3m)/2MASS-3-Band-NIC	y	Perley2010	no
185.0	16.090752755222685	0.69	H	AB	LSO/REM(0.6m)/REMIR	y	Perley2010	no
209.85	13.723834753213486	0.195	Ks	AB	FLWO/PAIRITEL(1.3m)/2MASS-3-Band-NIC	y	Perley2010	no
209.85	14.857752755222686	0.198	H	AB	FLWO/PAIRITEL(1.3m)/2MASS-3-Band-NIC	y	Perley2010	no
209.85	15.385719637935386	0.153	J	AB	FLWO/PAIRITEL(1.3m)/2MASS-3-Band-NIC	y	Perley2010	no
244.2	18.994879442079664	0.24	R	AB	KPNO/Super-LOTIS(0.6m)/E2V-TE-CCD	y	Perley2010	no
246.0	14.548752755222688	0.143	H	AB	FLWO/PAIRITEL(1.3m)/2MASS-3-Band-NIC	y	Perley2010	no
246.0	15.423719637935386	0.16	J	AB	FLWO/PAIRITEL(1.3m)/2MASS-3-Band-NIC	y	Perley2010	no
246.0	13.369834753213487	0.138	Ks	AB	FLWO/PAIRITEL(1.3m)/2MASS-3-Band-NIC	y	Perley2010	no
275.0	13.40343935436604	0.13	K	AB	LSO/REM(0.6m)/REMIR	y	Perley2010	no
282.15	14.258752755222686	0.103	H	AB	FLWO/PAIRITEL(1.3m)/2MASS-3-Band-NIC	y	Perley2010	no
282.15	13.231834753213487	0.119	Ks	AB	FLWO/PAIRITEL(1.3m)/2MASS-3-Band-NIC	y	Perley2010	no
282.15	15.237719637935388	0.141	J	AB	FLWO/PAIRITEL(1.3m)/2MASS-3-Band-NIC	y	Perley2010	no
290.4	17.00018553098453	0.159	clear	AB	LANL/RAPTOR-S(30cm)/AP-6E-CCD	y	Perley2010	no
298.1	17.614879442079665	0.0	R	AB	KPNO/Super-LOTIS(0.6m)/E2V-TE-CCD	y	6995	no
318.35	14.031752755222684	0.124	H	AB	FLWO/PAIRITEL(1.3m)/2MASS-3-Band-NIC	y	Perley2010	no
318.35	15.020719637935386	0.143	J	AB	FLWO/PAIRITEL(1.3m)/2MASS-3-Band-NIC	y	Perley2010	no
318.35	13.042834753213487	0.131	Ks	AB	FLWO/PAIRITEL(1.3m)/2MASS-3-Band-NIC	y	Perley2010	no
354.65	13.946752755222686	0.112	H	AB	FLWO/PAIRITEL(1.3m)/2MASS-3-Band-NIC	y	Perley2010	no
354.65	14.751719637935386	0.126	J	AB	FLWO/PAIRITEL(1.3m)/2MASS-3-Band-NIC	y	Perley2010	no
354.65	12.877834753213486	0.136	Ks	AB	FLWO/PAIRITEL(1.3m)/2MASS-3-Band-NIC	y	Perley2010	no
377.0	15.157719637935386	0.2	J	AB	LSO/REM(0.6m)/REMIR	y	Perley2010	no
390.85	14.734719637935386	0.117	J	AB	FLWO/PAIRITEL(1.3m)/2MASS-3-Band-NIC	y	Perley2010	no
390.85	13.915752755222686	0.11	H	AB	FLWO/PAIRITEL(1.3m)/2MASS-3-Band-NIC	y	Perley2010	no
390.85	12.856834753213487	0.11	Ks	AB	FLWO/PAIRITEL(1.3m)/2MASS-3-Band-NIC	y	Perley2010	no
427.05	12.826834753213486	0.112	Ks	AB	FLWO/PAIRITEL(1.3m)/2MASS-3-Band-NIC	y	Perley2010	no
427.05	14.024752755222686	0.117	H	AB	FLWO/PAIRITEL(1.3m)/2MASS-3-Band-NIC	y	Perley2010	no
427.05	14.995719637935386	0.129	J	AB	FLWO/PAIRITEL(1.3m)/2MASS-3-Band-NIC	y	Perley2010	no
452.9	19.01318553098453	0.0	Unfiltered	AB	McDonald/ROTSE-IIIb(0.45m)/CCD	y	6987	no
463.3	12.807834753213488	0.098	Ks	AB	FLWO/PAIRITEL(1.3m)/2MASS-3-Band-NIC	y	Perley2010	no
463.3	13.776752755222686	0.086	H	AB	FLWO/PAIRITEL(1.3m)/2MASS-3-Band-NIC	y	Perley2010	no
463.3	14.561719637935386	0.091	J	AB	FLWO/PAIRITEL(1.3m)/2MASS-3-Band-NIC	y	Perley2010	no
470.0	15.529778580941192	0.24	Y	AB	LSO/REM(0.6m)/REMIR	y	Perley2010	no
478.7	19.514879442079664	0.24	R	AB	KPNO/Super-LOTIS(0.6m)/E2V-TE-CCD	y	Perley2010	no
481.5	14.885719637935386	0.022	J	AB	FLWO/PAIRITEL(1.3m)/2MASS-3-Band-NIC	y	6989	no
499.4	13.844752755222686	0.082	H	AB	FLWO/PAIRITEL(1.3m)/2MASS-3-Band-NIC	y	Perley2010	no
499.4	14.606719637935386	0.084	J	AB	FLWO/PAIRITEL(1.3m)/2MASS-3-Band-NIC	y	Perley2010	no
499.4	12.578834753213489	0.079	Ks	AB	FLWO/PAIRITEL(1.3m)/2MASS-3-Band-NIC	y	Perley2010	no
