time_sec	mag	mag_err	band	system	telescope	extcorr	source	flag
282.0	19.93394105968753	0.0	U	AB	NGSO/Swift/UVOT	y	30785	no
455.0	18.042272901879944	0.0	P\	AB	SAAO/MASTER-SAAO(2X0.4m)/VWF-2	y	30766	no
468.288	16.13215823570938	0.09	H	AB	LSO/REM(0.6m)/REMIR	y	arXiv2202.04544	no
469.0	14.80215823570938	0.15	H	AB	LSO/REM(0.6m)/REMIR	y	30772	no
556.0	18.142272901879945	0.0	P\	AB	SAAO/MASTER-SAAO(2X0.4m)/VWF-2	y	30766	no
560.736	16.09215823570938	0.09	H	AB	LSO/REM(0.6m)/REMIR	y	arXiv2202.04544	no
565.0	18.942272901879942	0.0	P\	AB	SAAO/MASTER-SAAO(2X0.4m)/VWF-2	y	30766	no
653.184	16.11215823570938	0.11	H	AB	LSO/REM(0.6m)/REMIR	y	arXiv2202.04544	no
678.0	18.342272901879944	0.0	P\	AB	SAAO/MASTER-SAAO(2X0.4m)/VWF-2	y	30766	no
718.848	16.41215823570938	0.26	H	AB	LSO/REM(0.6m)/REMIR	y	arXiv2202.04544	no
762.912	16.13215823570938	0.25	H	AB	LSO/REM(0.6m)/REMIR	y	arXiv2202.04544	no
812.16	14.88215823570938	0.09	H	AB	LSO/REM(0.6m)/REMIR	y	arXiv2202.04544	no
826.0	18.342272901879944	0.0	P\	AB	SAAO/MASTER-SAAO(2X0.4m)/VWF-2	y	30766	no
849.312	15.452158235709382	0.11	H	AB	LSO/REM(0.6m)/REMIR	y	arXiv2202.04544	no
887.328	15.692158235709382	0.12	H	AB	LSO/REM(0.6m)/REMIR	y	arXiv2202.04544	no
924.48	15.80215823570938	0.16	H	AB	LSO/REM(0.6m)/REMIR	y	arXiv2202.04544	no
962.496	15.98215823570938	0.13	H	AB	LSO/REM(0.6m)/REMIR	y	arXiv2202.04544	no
1087.776	16.14822555975124	0.15	K	AB	LSO/REM(0.6m)/REMIR	y	arXiv2202.04544	no
1286.496	17.092390866852142	0.15	J	AB	LSO/REM(0.6m)/REMIR	y	arXiv2202.04544	no
1876.608	16.708225559751238	0.24	K	AB	LSO/REM(0.6m)/REMIR	y	arXiv2202.04544	no
2071.008	17.30215823570938	0.12	H	AB	LSO/REM(0.6m)/REMIR	y	arXiv2202.04544	no
2075.328	17.49239086685214	0.16	J	AB	LSO/REM(0.6m)/REMIR	y	arXiv2202.04544	no
2258.496	18.12297310402224	0.33	Z	AB	LSO/REM(0.6m)/REMIR	y	arXiv2202.04544	no
2290.464	20.79668972402956	0.46	i'	AB	LSO/REM(0.6m)/ROSS	y	arXiv2202.04544	no
2648.16	18.18526788602374	0.37	z'	AB	LSO/REM(0.6m)/ROSS	y	arXiv2202.04544	no
2665.44	17.05822555975124	0.28	K	AB	LSO/REM(0.6m)/REMIR	y	arXiv2202.04544	no
2864.16	17.42239086685214	0.19	J	AB	LSO/REM(0.6m)/REMIR	y	arXiv2202.04544	no
3258.144	22.417184400057863	0.0	Rc	AB	CTIO/LCOGT(1m)/Sinistro	y	arXiv2202.04544	no
3328.992	17.53215823570938	0.16	H	AB	LSO/REM(0.6m)/REMIR	y	arXiv2202.04544	no
3678.048	17.12822555975124	0.23	K	AB	LSO/REM(0.6m)/REMIR	y	arXiv2202.04544	no
3882.0	21.260512414782426	0.0	B	AB	NGSO/Swift/UVOT	y	30785	no
4027.968	17.78239086685214	0.15	J	AB	LSO/REM(0.6m)/REMIR	y	arXiv2202.04544	no
4088.0	19.08518001846108	0.0	UVW2	AB	NGSO/Swift/UVOT	y	30785	no
4293.0	19.19427367876346	0.0	V	AB	NGSO/Swift/UVOT	y	30785	no
4361.472	18.432973104022235	0.29	Z	AB	LSO/REM(0.6m)/REMIR	y	arXiv2202.04544	no
4497.5	19.189234694401804	0.0	UVM2	AB	NGSO/Swift/UVOT	y	30785	no
4703.0	19.88527280885416	0.0	UVW1	AB	NGSO/Swift/UVOT	y	30785	no
5069.088	19.396140928197568	0.14	Ic	AB	CTIO/LCOGT(1m)/Sinistro	y	arXiv2202.04544	no
6131.808	18.055267886023746	0.0	z'	AB	LSO/REM(0.6m)/ROSS	y	arXiv2202.04544	no
8224.416	18.332158235709382	0.21	H	AB	LSO/REM(0.6m)/REMIR	y	arXiv2202.04544	no
9181.728	20.46189160394724	0.06	I	AB	PAO/VLT-UT2-Kueyen/X-SHOOTER	y	arXiv2202.04544	no
9263.808	19.152973104022237	0.4	Z	AB	LSO/REM(0.6m)/REMIR	y	arXiv2202.04544	no
9278.496	20.286140928197568	0.14	Ic	AB	CTIO/LCOGT(1m)/Sinistro	y	arXiv2202.04544	no
9284.544	18.31822555975124	0.38	K	AB	LSO/REM(0.6m)/REMIR	y	arXiv2202.04544	no
9443.52	24.71327475257141	0.0	r'	AB	PAO/VLT-UT2-Kueyen/X-SHOOTER	y	arXiv2202.04544	no
9468.0	23.414277608180637	0.0	r	AB	PAO/VLT-UT3-Melipal/FORS1	y	30771	no
9468.0	19.352533462079617	0.1	z	AB	PAO/VLT-UT3-Melipal/FORS1	y	30771	no
9468.0	20.239872699049958	0.1	I	AB	PAO/VLT-UT3-Melipal/FORS1	y	30771	yes/X/Y
9615.456	19.485267886023745	0.02	z'	AB	PAO/VLT-UT2-Kueyen/X-SHOOTER	y	arXiv2202.04544	no
9637.92	18.83239086685214	0.22	J	AB	LSO/REM(0.6m)/REMIR	y	arXiv2202.04544	no
9858.24	24.87371095624217	0.0	g'	AB	PAO/VLT-UT2-Kueyen/X-SHOOTER	y	arXiv2202.04544	no
11680.416	20.346140928197567	0.15	Ic	AB	CTIO/LCOGT(1m)/Sinistro	y	arXiv2202.04544	no
17031.17	22.716689724029564	0.03	i'	AB	CTIO/VictorMBlanco(4m)/DECam	y	arXiv2202.04544	no
85325.184	20.232390866852143	0.11	J	AB	LSO/MPG-ESO(2.2m)/GROND	y	arXiv2202.04544	no
85325.184	20.15795753764654	0.2	Ks	AB	LSO/MPG-ESO(2.2m)/GROND	y	arXiv2202.04544	no
85325.184	20.06215823570938	0.12	H	AB	LSO/MPG-ESO(2.2m)/GROND	y	arXiv2202.04544	no
85325.184	21.56526788602374	0.12	z'	AB	LSO/MPG-ESO(2.2m)/GROND	y	arXiv2202.04544	no
85343.328	20.061808909259035	0.06	H	AB	PAO/VLT-UT4-Yepun/HAWK-I	y	arXiv2202.04544	no
86418.144	19.878150138154155	0.03	Ks	AB	PAO/VLT-UT4-Yepun/HAWK-I	y	arXiv2202.04544	no
178958.59	20.76180890925904	0.06	H	AB	PAO/VLT-UT4-Yepun/HAWK-I	y	arXiv2202.04544	no
181215.36	20.62215823570938	0.14	H	AB	LSO/MPG-ESO(2.2m)/GROND	y	arXiv2202.04544	no
181215.36	22.29526788602374	0.18	z'	AB	LSO/MPG-ESO(2.2m)/GROND	y	arXiv2202.04544	no
181215.36	21.11239086685214	0.12	J	AB	LSO/MPG-ESO(2.2m)/GROND	y	arXiv2202.04544	no
343570.46	21.471808909259035	0.06	H	AB	PAO/VLT-UT4-Yepun/HAWK-I	y	arXiv2202.04544	no
949959.36	22.54180890925904	0.07	H	AB	PAO/VLT-UT4-Yepun/HAWK-I	y	arXiv2202.04544	no
2333715.84	23.28180890925904	0.12	H	AB	PAO/VLT-UT4-Yepun/HAWK-I	y	arXiv2202.04544	no
4498009.92	24.12180890925904	0.13	H	AB	PAO/VLT-UT4-Yepun/HAWK-I	y	arXiv2202.04544	no
7519620.0	25.94189160394724	0.0	I	AB	PAO/VLT(8.2m)/FORS2	y	arXiv2202.04544	no
20028800.0	25.636014537949283	0.05	F140W	AB	Hubble/HST/WFC3	y	arXiv2202.04544	no
