time_sec	mag	mag_err	band	system	telescope	extcorr	source	flag
217.0	17.912625520265504	0.0	V	AB	NGSO/Swift/UVOT	y	3799	no
3482.5	20.122544883887127	0.0	UVW1	AB	NGSO/Swift/UVOT	y	3804	no
3943.0	21.06276536111947	0.0	U	AB	NGSO/Swift/UVOT	y	3804	no
4333.0	21.284724493907824	0.0	B	AB	NGSO/Swift/UVOT	y	3804	no
6396.0	20.539826073817096	0.0	UVW2	AB	NGSO/Swift/UVOT	y	3804	no
6769.0	20.412625520265504	0.0	V	AB	NGSO/Swift/UVOT	y	3804	no
7204.0	20.443176944221637	0.0	UVM2	AB	NGSO/Swift/UVOT	y	3804	no
37474.8	23.02124609128096	0.21	R	AB	ORM/INT(2.54m)/WFC	y	astro-ph0509888	no
42313.2	23.02124609128096	0.23	R	AB	ORM/INT(2.54m)/WFC	y	astro-ph0509888	no
48369.0	22.91169818570932	0.0	V	AB	ORM/NOT(2.56m)/ALFOSC	y	3809	no
48402.0	25.11169818570932	0.0	V	AB	ORM/NOT(2.56m)/ALFOSC	y	astro-ph0509888	no
49611.6	23.35029346501592	0.09	R	AB	ORM/NOT(2.56m)/ALFOSC	y	astro-ph0509888	no
50097.0	23.130293465015917	0.0	R	AB	ORM/NOT(2.56m)/ALFOSC	y	3809	no
50607.6	23.02124609128096	0.23	R	AB	ORM/INT(2.54m)/WFC	y	astro-ph0509888	no
50757.6	20.506216061499224	0.04	I	AB	ORM/NOT(2.56m)/ALFOSC	y	astro-ph0509888	no
50961.0	20.456216061499223	0.0	I	AB	ORM/NOT(2.56m)/ALFOSC	y	3809	no
61560.0	21.234291072517827	0.0	R	AB	PO/60inches/SEDM	y	3807	no
61560.0	21.351360250112002	0.3	i	AB	PO/60inches/SEDM	y	3807	no
81234.0	17.59040393223314	0.03	K	AB	MKO/UKIRT(3.8m)/UFTI	y	astro-ph0509888	yes/Z
127940.0	21.85621606149922	0.08	I	AB	ORM/NOT(2.56m)/ALFOSC	y	astro-ph0509888	no
237276.8	20.01040393223314	0.12	K	AB	MKO/UKIRT(3.8m)/UFTI	y	astro-ph0509888	no
240201.6	22.37754677962818	0.38	J	AB	MKO/UKIRT(3.8m)/UFTI	y	astro-ph0509888	no
1762200.0	24.653382322235107	0.0	I	AB	ORM/NOT(2.56m)/MOSCA	y	astro-ph0509888	no
