time_sec	mag	mag_err	band	system	telescope	extcorr	source	flag
179.0	17.8161117614971	0.0	white	AB	NGSO/Swift/UVOT	y	5096	no
210.0	19.87223967412686	0.426	R	AB	ORM/Liverpool(2m)/RATCAM	y	Melandri2008	no
479.0	21.7161117614971	0.0	white	AB	NGSO/Swift/UVOT	y	5109	no
698.4	21.41823967412686	0.75	R	AB	ORM/Liverpool(2m)/RATCAM	y	Melandri2008	no
774.0	20.92415542316425	0.5	i'	AB	Haleakala/Faulkes-North(2m)/Hawkcam	y	5103	no
1034.0	21.073341760533	0.0	V	AB	NGSO/Swift/UVOT	y	5109	no
1560.0	22.423827493738084	0.0	R	AB	MDM/McGrawHill(1.3m)/TIFKAM	y	5097	no
1610.7	19.40078839435256	0.0	Rc	AB	PO/60inches/SEDM	y	Cenko2009	no
1698.0	20.22464434353356	0.0	i'	AB	PO/60inches/SEDM	y	Cenko2009	no
1793.5	19.458434136517283	0.71	z'	AB	PO/60inches/SEDM	y	Cenko2009	no
1860.0	20.12415542316425	0.2	i'	AB	Haleakala/Faulkes-North(2m)/Hawkcam	y	5103	no
1892.3	20.10078839435256	0.0	Rc	AB	PO/60inches/SEDM	y	Cenko2009	no
1907.0	18.50168798013121	0.0	R	AB	KPNO/Super-LOTIS(0.6m)/E2V-TE-CCD	y	5100	no
1983.5	20.22464434353356	0.0	i'	AB	PO/60inches/SEDM	y	Cenko2009	no
2079.7	19.62843413651728	0.71	z'	AB	PO/60inches/SEDM	y	Cenko2009	no
2713.8	21.391239674126854	0.286	R	AB	ORM/Liverpool(2m)/RATCAM	y	Melandri2008	no
3117.1	20.60078839435256	0.0	Rc	AB	PO/60inches/SEDM	y	Cenko2009	no
3272.3	21.114644343533563	0.45	i'	AB	PO/60inches/SEDM	y	Cenko2009	no
3430.1	19.71843413651728	0.68	z'	AB	PO/60inches/SEDM	y	Cenko2009	no
3585.8	21.21222891414494	0.0	g_Gunn	AB	PO/60inches/SEDM	y	Cenko2009	no
4486.58	18.96692475292038	0.0	J	AB	Haleakala/MAGNUM(2m)/MIP	y	5099	no
4736.0	20.3427606703975	0.0	UVW1	AB	NGSO/Swift/UVOT	y	5109	no
4852.0	20.52770872915904	0.0	UVM2	AB	NGSO/Swift/UVOT	y	5109	no
4950.0	20.901064363332225	0.0	U	AB	NGSO/Swift/UVOT	y	5109	no
5141.0	21.232896370889197	0.0	B	AB	NGSO/Swift/UVOT	y	5109	no
5446.0	19.32285129999424	0.0	UVW2	AB	NGSO/Swift/UVOT	y	5109	no
7397.9	21.58078839435256	0.25	Rc	AB	PO/60inches/SEDM	y	Cenko2009	no
8028.98	18.96727781681313	0.0	J	AB	MKO/Gemini-North(8.1m)/NIRI	y	5101	no
8628.7	21.23464434353356	0.39	i'	AB	PO/60inches/SEDM	y	Cenko2009	no
9597.6	20.42843413651728	0.67	z'	AB	PO/60inches/SEDM	y	Cenko2009	no
