time_sec	mag	mag_err	band	system	telescope	extcorr	source	flag
89.89	13.39952538676384	0.0613597231476825	V	AB	NGSO/Swift/UVOT	y	Oates	no
104.89	13.584525386763838	0.0427833023045525	V	AB	NGSO/Swift/UVOT	y	Oates	no
124.89	13.82552538676384	0.0409930451594107	V	AB	NGSO/Swift/UVOT	y	Oates	no
144.89	14.01852538676384	0.0401054022657329	V	AB	NGSO/Swift/UVOT	y	Oates	no
160.0	14.647171220439429	0.02	white	AB	NGSO/Swift/UVOT	y	17673	no
169.89	14.21952538676384	0.0344978949221837	V	AB	NGSO/Swift/UVOT	y	Oates	no
204.89	14.474525386763837	0.0316018286192855	V	AB	NGSO/Swift/UVOT	y	Oates	no
229.76	14.611525386763835	0.0556748808206799	V	AB	NGSO/Swift/UVOT	y	Oates	no
327.71	15.243525386763835	0.0505491540753681	V	AB	NGSO/Swift/UVOT	y	Oates	no
392.71	15.480525386763835	0.0514797358003291	V	AB	NGSO/Swift/UVOT	y	Oates	no
422.5	15.877300774337558	0.03	U	AB	NGSO/Swift/UVOT	y	17673	no
472.71	15.70052538676384	0.0505491540753681	V	AB	NGSO/Swift/UVOT	y	Oates	no
557.44	16.02652538676384	0.0486963616775147	V	AB	NGSO/Swift/UVOT	y	Oates	no
563.0	16.429335695162035	0.08	B	AB	NGSO/Swift/UVOT	y	17673	no
686.6	16.36152538676384	0.079609794758996	V	AB	NGSO/Swift/UVOT	y	Oates	no
810.15	16.499525386763843	0.0723716361914972	V	AB	NGSO/Swift/UVOT	y	Oates	no
950.53	16.672525386763837	0.0409930451594107	V	AB	NGSO/Swift/UVOT	y	Oates	no
1152.29	17.08052538676384	0.089288492732806	V	AB	NGSO/Swift/UVOT	y	Oates	no
1412.16	17.240525386763842	0.0829810909084531	V	AB	NGSO/Swift/UVOT	y	Oates	no
1672.25	17.74452538676384	0.1667135065100946	V	AB	NGSO/Swift/UVOT	y	Oates	no
2981.0	19.34030936523778	0.21	UVW1	AB	NGSO/Swift/UVOT	y	17673	no
5493.44	18.39052538676384	0.0594577246662257	V	AB	NGSO/Swift/UVOT	y	Oates	no
6721.5	20.10196619816002	0.0	UVW2	AB	NGSO/Swift/UVOT	y	17673	no
6724.01	18.47752538676384	0.0902666646242187	V	AB	NGSO/Swift/UVOT	y	Oates	no
12085.66	18.89152538676384	0.0990053025454453	V	AB	NGSO/Swift/UVOT	y	Oates	no
14865.5	21.70838054855835	0.0	UVM2	AB	NGSO/Swift/UVOT	y	17673	no
18118.65	19.16052538676384	0.0873338524120199	V	AB	NGSO/Swift/UVOT	y	Oates	no
20840.0	19.068988722096908	0.0	R	AB	SAAO/MASTER-SAAO(2X0.4m)/VWF-2	y	17680	no
29938.58	19.52652538676384	0.405342097464099	V	AB	NGSO/Swift/UVOT	y	Oates	no
39060.0	18.96808751770054	0.0	R	AB	PAO/VLT-UT2-Kueyen/X-SHOOTER	y	17672	no
40741.96	19.51752538676384	0.1905091418494838	V	AB	NGSO/Swift/UVOT	y	Oates	no
55109.09	19.94952538676384	0.2236454988849867	V	AB	NGSO/Swift/UVOT	y	Oates	no
70288.56	20.14052538676384	0.1238873624596635	V	AB	NGSO/Swift/UVOT	y	Oates	no
84933.43	20.25652538676384	0.2120865104125915	V	AB	NGSO/Swift/UVOT	y	Oates	no
121922.68	20.73452538676384	0.1895137891419023	V	AB	NGSO/Swift/UVOT	y	Oates	no
152592.91	20.802525386763836	0.2642857711464635	V	AB	NGSO/Swift/UVOT	y	Oates	no
182424.04	20.70752538676384	0.3554219489305113	V	AB	NGSO/Swift/UVOT	y	Oates	no
235382.68	22.493525386763835	0.0	V	AB	NGSO/Swift/UVOT	y	Oates	no
287179.07	22.06952538676384	0.338020315996347	V	AB	NGSO/Swift/UVOT	y	Oates	no
359434.5	22.02352538676384	0.3161615083229825	V	AB	NGSO/Swift/UVOT	y	Oates	no
474442.42	22.26152538676384	0.1847084866736352	V	AB	NGSO/Swift/UVOT	y	Oates	no
638716.06	22.54152538676384	0.3564206014943409	V	AB	NGSO/Swift/UVOT	y	Oates	no
789975.92	22.80252538676384	0.2615339344687318	V	AB	NGSO/Swift/UVOT	y	Oates	no
1014953.34	22.97752538676384	0.3171598388542329	V	AB	NGSO/Swift/UVOT	y	Oates	no
1267511.99	23.10152538676384	0.3684068383260332	V	AB	NGSO/Swift/UVOT	y	Oates	no
2286340.74	22.61352538676384	0.0	V	AB	NGSO/Swift/UVOT	y	Oates	no
