time_sec	mag	mag_err	band	system	telescope	extcorr	source	flag
166.85	16.88413204053293	0.05	white	AB	NGSO/Swift/UVOT	y	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
429.0	17.306287257369522	0.07	U	AB	NGSO/Swift/UVOT	y	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
569.4	18.922882498234696	0.33	B	AB	NGSO/Swift/UVOT	y	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
593.95	18.17413204053293	0.13	white	AB	NGSO/Swift/UVOT	y	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
693.0	17.845891316244888	0.0	UVW1	AB	NGSO/Swift/UVOT	y	18531	no
705.5	18.443377983390487	0.0	UVW2	AB	NGSO/Swift/UVOT	y	18531	no
717.1	18.156287257369524	0.3	U	AB	NGSO/Swift/UVOT	y	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
729.95	18.153968224035157	0.29	V	AB	NGSO/Swift/UVOT	y	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
741.8	18.98288249823469	0.34	B	AB	NGSO/Swift/UVOT	y	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
754.0	17.97591034666764	0.0	UVM2	AB	NGSO/Swift/UVOT	y	18531	no
827.5	18.83413204053293	0.12	white	AB	NGSO/Swift/UVOT	y	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
1068.0	17.648277202140243	0.2	Unfiltered	AB	PierreAuger/FRAM(30cm)/G4-1600	y	18554	yes/X/Z
2640.0	19.82112569749236	0.1	g'	AB	LSO/MPG-ESO(2.2m)/GROND	y	18523	no
2640.0	19.66045932639802	0.1	i'	AB	LSO/MPG-ESO(2.2m)/GROND	y	18523	no
2640.0	19.67206238811709	0.1	z'	AB	LSO/MPG-ESO(2.2m)/GROND	y	18523	no
2640.0	19.392646228568964	0.0	K	AB	LSO/MPG-ESO(2.2m)/GROND	y	18523	no
2640.0	19.645835416935693	0.1	r'	AB	LSO/MPG-ESO(2.2m)/GROND	y	18523	no
2640.0	19.38885685826692	0.0	H	AB	LSO/MPG-ESO(2.2m)/GROND	y	18523	no
2640.0	19.482756610905582	0.2	J	AB	LSO/MPG-ESO(2.2m)/GROND	y	18523	no
5137.2	20.34628725736952	0.39	U	AB	NGSO/Swift/UVOT	y	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
5240.3	20.503968224035155	0.51	V	AB	NGSO/Swift/UVOT	y	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
5342.3	20.562882498234693	0.33	B	AB	NGSO/Swift/UVOT	y	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
5547.1	21.08413204053293	0.3	white	AB	NGSO/Swift/UVOT	y	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
6480.0	20.54683232791014	0.4	r	AB	SSO/Faulkes-South(2m)/Merope	y	18530	no
6559.25	20.14628725736952	0.36	U	AB	NGSO/Swift/UVOT	y	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
7200.0	20.960544488900045	0.5	i	AB	SSO/Faulkes-South(2m)/Merope	y	18530	no
10480.85	21.792882498234693	0.42	B	AB	NGSO/Swift/UVOT	y	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
11393.5	21.714132040532927	0.24	white	AB	NGSO/Swift/UVOT	y	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
16227.6	21.07396822403516	0.0	V	AB	NGSO/Swift/UVOT	y	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
23589.75	21.97413204053293	0.36	white	AB	NGSO/Swift/UVOT	y	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
26006.0	22.37288249823469	0.0	B	AB	NGSO/Swift/UVOT	y	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
27122.7	20.648277202140243	0.0	Rc	AB	OAO/MITSuME(50cm)/Alta-U6	y	18534	no
27122.7	20.42091601934211	0.0	g'	AB	OAO/MITSuME(50cm)/Alta-U6	y	18534	no
27122.7	19.760116573874285	0.0	Ic	AB	OAO/MITSuME(50cm)/Alta-U6	y	18534	no
28422.8	22.286287257369523	0.0	U	AB	NGSO/Swift/UVOT	y	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
40121.35	21.063968224035158	0.0	V	AB	NGSO/Swift/UVOT	y	https://gcn.gsfc.nasa.gov/swift_gnd_ana.html	no
