time_sec	mag	mag_err	band	system	telescope	extcorr	source	flag
174.0	21.27623788690453	0.0	white	AB	NGSO/Swift/UVOT	y	12434	no
436.0	20.474293455983346	0.0	U	AB	NGSO/Swift/UVOT	y	12434	no
729.0	21.77623788690453	0.0	white	AB	NGSO/Swift/UVOT	y	12434	no
810.5	20.574293455983348	0.0	U	AB	NGSO/Swift/UVOT	y	12434	no
950.5	19.67840680096823	0.0	B	AB	NGSO/Swift/UVOT	y	12434	no
1001.0	19.751264691334754	0.0	UVW2	AB	NGSO/Swift/UVOT	y	12434	no
1025.0	18.983633170695466	0.0	V	AB	NGSO/Swift/UVOT	y	12434	no
1049.5	20.951892370310347	0.0	UVM2	AB	NGSO/Swift/UVOT	y	12434	no
1073.5	19.166759429029376	0.0	UVW1	AB	NGSO/Swift/UVOT	y	12434	no
18000.0	22.788409247610474	0.0	R	AB	CP/Gemini-South(8.1m)/Flamingos2	y	12426	no
19382.0	19.785726003097505	0.18	J	AB	CCHA/miniTAO(1m)/ANIR	y	12437	no
19382.0	19.467238028267502	0.19	H	AB	CCHA/miniTAO(1m)/ANIR	y	12437	no
19382.0	19.378135781861694	0.17	Ks	AB	CCHA/miniTAO(1m)/ANIR	y	12437	no
21240.0	20.591832251002142	0.0	I	AB	Teide/IAC80(0.82m)/CAMELOT2	y	12432	no
23820.0	22.28694269810863	0.0	R	AB	ORM/NOT(2.56m)/ALFOSC	y	12427	no
25322.0	20.890135691161156	0.1	ip	AB	LSO/MPG-ESO(2.2m)/GROND	y	12428	no
25322.0	22.586223041317364	0.1	rp	AB	LSO/MPG-ESO(2.2m)/GROND	y	12428	no
25322.0	23.979154572766273	0.0	gp	AB	LSO/MPG-ESO(2.2m)/GROND	y	12428	no
25322.0	19.892513891208683	0.1	zp	AB	LSO/MPG-ESO(2.2m)/GROND	y	12428	yes/X/Y
